OBJET : CABLE,,,,,,,,,
Nom champ,字段描述,Descriptif champ,Exemple,"Type
champ","Longueur
champ",Format de saisie,"Obligatoire
O/C/N","Description de
la condition","Contrainte de
remplissage"
CODE,光缆编码,Code du cable,CDI-UNF-TNG01-BOK01-01-002,Texte,30,Saisie libre,O,,Format à définir
NOM,现场命名,Nommage terrain,CDI-UNF-TNG01-BOK01-01-002,Texte,30,"Saisie libre : Nom de l'objet sur le terrain, code si inexistant terrain",C,,Format à définir
REF_PLAQUE,归属面板编码,Code de la plaque de rattachement,TNG01-BOK,Texte,50,<TrigrammeVillePlaque>-<NomQuartier>,O,,Format à définir
REF_NRO,归属 NRO 编码,Code du NRO de rattachement,NRO-TNG01-BOK,Texte,50,NRO-<TrigrammeVillePlaque>-<NomQuartier>,O,,Format à définir
REF_PM,归属 PM 编码,Code du PM de rattachement,TNG01-BOK01,Texte,50,<TrigrammeVillePlaque>-<NomQuartierNumPM>,O,,Format à définir
CODE_INFRA,光缆承载基础设施编码,Code de l'infrastructure d'accueil du cable,"CHA-<NumChambre>
CHA-<Operateur ou Tiers>-<NumChambre>
POT-<Operateur ou conventionnelle>-<Identifiant>",Texte,20,Saisie libre,O,,Format à définir
ORIGINE,光缆上游箱体 / 站点编码,Code de la boîte ou du site en amont du câble,BPE-TNG01-BOK01-025,Texte,20,Saisie libre,O,,Format à définir
EXTREMITE,光缆下游箱体 / 站点编码,Code de la boîte ou du site en aval du câble,"PBO-TNG01-BOK01-012,PTO-TNG01-BOK01-245",Texte,20,Saisie libre,O,,Format à définir
TYPE_CABLE,光缆类型,Type de cable,DISTRIBUTION,Texte,15,Liste de valeurs l_cable_type,O,,
DIAMETRE,直径,Diamètre,8,Entier,2,Saisie libre,O,,
MODE_POSE,敷设方式,Mode de pose,"SOUTERRAIN,AERIEN, FACADE",Texte,30,Liste de valeurs l_mode_pose,O,,
CAPACITE,光纤容量,Capacité en nb de fibres,72,Entier,3,"Saisie libre : 2, 6, 12, 24, 36, 48, 72, …",O,,
MODULO,模块化,Modularité,12,Entier,2,"Saisie libre : 2, 6, 12",O,,
FABRIQUANT,光缆厂商编号,Référence cablier,"FBR,FIBERHOME",Texte,50,Saisie libre,O,,
REF_PRODUIT,产品型号,Référence produit ,NR,Texte,50,Saisie libre,O,,
TYPE_FIBRE,光缆光纤类型,Type de fibre du câble,G657A2,Texte,10,Liste de valeurs l_fibre_type,,,
NB_FIBRE_UTIL,已用光纤数,Nombre de fibres utilisées,48,Entier,3,Saisie libre,O,,
NB_FIBRE_DISP,可用光纤数,Nombre de fibres disponibles,24,Entier,3,Saisie libre,O,,
STATUT,部署状态,Statut de déploiement,DEPLOYE,Texte,50,Liste de valeurs l_statut,O,,
PROPRIETAIRE,产权方,Propriétaire,UNIFIBER,Texte,50,Saisie libre,O,,
GESTIONNAIRE,管理方,Gestionnaire,UNIFIBER,Texte,50,Saisie libre,O,,
TYPE_PROP,产权类型,Type de propriété,Construction,Texte,30,Liste de valeurs l_type_prop,,,
LONGUEUR,光缆长度,Longueur du câble,2540,Double,10,"Exprimée en mètre, sur la base de la projection retenue",O,,
COMMENT,备注信息,Commentaires éventuels,,Texte,50,Saisie libre,C,,
