OBJET : BOITIER,,,,,,,,,
Nom champ,字段描述,Descriptif champ,Exemple,"Type
champ","Longueur
champ",Format de saisie,"Obligatoire
O/C/N","Description de
la condition","Contrainte de
remplissage"
CODE,光箱编码,Code du boitier optique,BPE-TNG01-BOK01-025,Texte,30,"PBO-<TrigrammeVillePlaque>-<NomQuartierNumPM>-<N° incrément PBO>
BPE-<TrigrammeVillePlaque>-<NomQuartierNumPM>-<N° incrément BPE>
BPI-<TrigrammeVillePlaque>-<NomQuartierNumPM>-<N° incrément BPI>",O,,Format à définir
CODE_PTC,光箱安装技术点编码,Code du point technique d'implantation du boitier optique,"CHA-<NumChambre>
CHA-<Operateur ou Tiers>-<NumChambre>",Texte,30,Saisie libre,O,,Format à définir
REF_PLAQUE,归属面板编码,Code de la plaque de rattachement,TNG01-BOK,Texte,50,<TrigrammeVillePlaque>-<NomQuartier>,O,,Format à définir
REF_NRO,归属 NRO 编码,Code du NRO de rattachement,NRO-BOK,Texte,50,UNF-NRO-<TrigrammeVillePlaque>-<NomQuartier>,N,,Format à définir
REF_PM,归属 PM 编码,Code du PM de rattachement,TNG01-BOK01,Texte,50,<TrigrammeVillePlaque>-<NomQuartierNumPM>,O,,Format à définir
TYPE,箱体类型,Type de boitier,"BPE,BPI,PBO,",Texte,,Liste de valeurs l_bpe_type,O,,
TYPE_STRUCTURE,传输网络、分配网络,"Reseau Transport, Reseau Distribution","Transport, Distibution",,,,,,
MODE_POSE,安装方式,Mode de pose,"Façade, Chambre, Aerien",Texte,30,Liste de valeurs l_bpe_mode_pose,O,,
CAPACITE,箱体总熔接容量,Capacité d'épissure totale du boitier,144,Entier,3,Saisie libre,O,,
NB_LOGEMENT,可接入住户数,Nombre de logement raccordable,6,,10,Saisie libre,,,
NB_SPLICES,熔接数量,Nombre de soudure,0,,,,,,
NB_FIBRE_UTIL,光纤总数（住户 + 预留）,Nombre de fibres (Logements + réserves) ,8,3,Saisie libre,O,,,
FABRIQUANT,厂商编号,Référence du fabriquant,"FBR,FIBERHOME",Texte,50,Saisie libre,O,,
REF_BPE,产品型号,Référence produit,FBR-BPO24,Texte,50,Saisie libre,O,,
NB_CASSETTES_MAX,最大托盘容纳数量,Capacité d'accueil en nombre de cassettes,4,Entier,3,Saisie libre,O,,
CABLE_AMONT,上游 / 入箱光缆编号,Référence du câble amont/entrant dans le boitier,CDI-UNF-TNG01-BOK01-01-001,Texte,20,CDI-UNF-<PMParent>-<NumTiroir>-<NumCableSortant>-<Increment>,O,,Format à définir
STATUT,部署状态,Statut de déploiement,DEPLOYE,Texte,50,Liste de valeurs l_statut,O,,
PROPRIETAIRE,产权方,Propriétaire,UNIFIBER,Texte,50,Saisie libre,O,,
GESTIONNAIRE,管理方,Gestionnaire,UNIFIBER,Texte,50,Saisie libre,O,,
ADRESSSE,箱体附近地址,Adresse située à proximité du boitier,RUE DE LA MER,Texte,50,"Adresse sans complément : ""Numéro""""Espace""""Nom de la rue""
Adresse avec complément : ""Numéro""""Espace""""Complement""""Espace""""Nom de la rue""
Adresse sans numéro : ""Nom de la rue""",C,Si existant,
VILLE,城市,VILLE,CASABLANCA,Texte,50,Saisie libre,O,,
CODE_POSTAL,邮政编码,Code Postal,20250,Entier,5,Saisie libre,C,Si existant,
X,地理坐标 X,Coordonnées géographiques X,33.68371964,Double,,Valeur calculée automatiquement,O,,Coordonnées géographiques exprimées en WGS84
Y,地理坐标 Y,Coordonnées géographiques Y,7.393088654,Double,,Valeur calculée automatiquement,O,,Coordonnées géographiques exprimées en WGS84
COMMENT,备注信息,Commentaires éventuels,,Texte,50,Saisie libre,C,,
