fid,CODE,NOM,REF_PLAQUE,ORIGINE,EXTREMITE,COMPOSITION,TYPE,TYPE_LOG,STATUT,PROPRIETAIRE,GESTIONNAIRE,COMMENT,LONGUEUR,display_label,label_provenance,source_entity_key,source_handle,source_layer,geometry_role,style_aci,style_truecolor,style_linetype,style_lineweight,style_rotation,style_rotation_deg,style_qgis_rotation_deg,style_render_key,lineage_json,source_cad_length_m,dimension_length_m,source_segment_sum_m,source_native_length_delta_m,delivery_grid_length_m,geodesic_length_m
1,INFRA-CAD-1B2A00,,,,,,,,,,,,104.00716235375612,,UNAVAILABLE,a7fd0911b2cdca84e4cad326263998ea730e4d47a308a1273a46d51164336e6e,1B2A00,SLING WIRE,SOURCE_ROUTE,8,#808080,Continuous,-1,0.0,0.0,0.0,TRUECOLOR:808080|LT:Continuous|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""a7fd0911b2cdca84e4cad326263998ea730e4d47a308a1273a46d51164336e6e"",""max_displacement_m"":0.0}]",,,,,104.00716235375612,103.96051277519997
2,INFRA-CAD-1B24D8,,,,,,,,,,,,82.67620077942941,,UNAVAILABLE,7ba6fa4a9e2264c8a7d924ae12a8d68eff391da8a06ac09d4bf0879de9e50df3,1B24D8,SLING WIRE,SOURCE_ROUTE,8,#808080,Continuous,-1,0.0,0.0,0.0,TRUECOLOR:808080|LT:Continuous|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""7ba6fa4a9e2264c8a7d924ae12a8d68eff391da8a06ac09d4bf0879de9e50df3"",""max_displacement_m"":0.0}]",,,,,82.67620077942941,82.63896621334125
3,INFRA-CAD-1B2A06,,,,,,,,,,,,39.97946179703525,,UNAVAILABLE,6b92d0b4bedc73b4fd72562b91d1183eb1691468d576bbddb1a69df23657a3e8,1B2A06,SLING WIRE,SOURCE_ROUTE,8,#808080,Continuous,-1,0.0,0.0,0.0,TRUECOLOR:808080|LT:Continuous|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""6b92d0b4bedc73b4fd72562b91d1183eb1691468d576bbddb1a69df23657a3e8"",""max_displacement_m"":0.0}]",,,,,39.97946179703525,39.96162586604896
4,INFRA-CAD-1B2A01,,,,,,,,,,,,34.18333402515585,,UNAVAILABLE,02d5b185ab5c698ac2551028550ff768a5af17205aa1301c8a6c86bae88dfffa,1B2A01,SLING WIRE,SOURCE_ROUTE,8,#808080,Continuous,-1,0.0,0.0,0.0,TRUECOLOR:808080|LT:Continuous|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""02d5b185ab5c698ac2551028550ff768a5af17205aa1301c8a6c86bae88dfffa"",""max_displacement_m"":0.0}]",,,,,34.18333402515585,34.168032464377994
5,INFRA-CAD-1B2A05,,,,,,,,,,,,63.56292190102717,,UNAVAILABLE,ab35163059e014b0b8d742058411704b2bccaada8e15fd2020dce5cc1323bff9,1B2A05,SLING WIRE,SOURCE_ROUTE,8,#808080,Continuous,-1,0.0,0.0,0.0,TRUECOLOR:808080|LT:Continuous|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""ab35163059e014b0b8d742058411704b2bccaada8e15fd2020dce5cc1323bff9"",""max_displacement_m"":0.0}]",,,,,63.56292190102717,63.53453600189029
6,INFRA-CAD-1B1FD3,,,,,,,,,,,,41.22541938142651,,UNAVAILABLE,c1060ce623311675f9ffed092ee1edd0db347f68cef7bb225f73cfd74b6c794e,1B1FD3,SLING WIRE,SOURCE_ROUTE,8,#808080,Continuous,-1,0.0,0.0,0.0,TRUECOLOR:808080|LT:Continuous|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""c1060ce623311675f9ffed092ee1edd0db347f68cef7bb225f73cfd74b6c794e"",""max_displacement_m"":0.0}]",,,,,41.22541938142651,41.20675074901964
7,INFRA-CAD-1B1FD6,,,,,,,,,,,,83.32094616901196,,UNAVAILABLE,3ba8c0c4ecb1c73cb9bdc4a4a4aabb74ad037147e6de0c4cbb2d8634ab84070b,1B1FD6,SLING WIRE,SOURCE_ROUTE,8,#808080,Continuous,-1,0.0,0.0,0.0,TRUECOLOR:808080|LT:Continuous|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""3ba8c0c4ecb1c73cb9bdc4a4a4aabb74ad037147e6de0c4cbb2d8634ab84070b"",""max_displacement_m"":0.0}]",,,,,83.32094616901196,83.28324126676583
8,INFRA-CAD-1B1FD1,,,,,,,,,,,,27.185990580713288,,UNAVAILABLE,2f04d937f270b0136e5e850b7860133d62c8fd266728cdb62b8fcb87f475f624,1B1FD1,SLING WIRE,SOURCE_ROUTE,8,#808080,Continuous,-1,0.0,0.0,0.0,TRUECOLOR:808080|LT:Continuous|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""2f04d937f270b0136e5e850b7860133d62c8fd266728cdb62b8fcb87f475f624"",""max_displacement_m"":0.0}]",,,,,27.185990580713288,27.173673112973688
9,INFRA-CAD-1B29D7,,,,,,,,,,,,34.03306536044828,,UNAVAILABLE,ae0a7179f807030ed45719485073281e9f18cd30be4a47aa715800d7c606b11d,1B29D7,SLING WIRE,SOURCE_ROUTE,8,#808080,Continuous,-1,0.0,0.0,0.0,TRUECOLOR:808080|LT:Continuous|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""ae0a7179f807030ed45719485073281e9f18cd30be4a47aa715800d7c606b11d"",""max_displacement_m"":0.0}]",,,,,34.03306536044828,34.01780584492028
10,INFRA-CAD-1B24D4,,,,,,,,,,,,72.27901738612452,,UNAVAILABLE,3a28bc82d01cf391d39938e2b5f707224bcebfffdfa202a4956552f1ab65eb4f,1B24D4,SLING WIRE,SOURCE_ROUTE,8,#808080,Continuous,-1,0.0,0.0,0.0,TRUECOLOR:808080|LT:Continuous|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""3a28bc82d01cf391d39938e2b5f707224bcebfffdfa202a4956552f1ab65eb4f"",""max_displacement_m"":0.0}]",,,,,72.27901738612452,72.24636895334439
