fid,CODE,CODE_PTC,REF_PLAQUE,REF_NRO,REF_PM,TYPE,TYPE_STRUCTURE,MODE_POSE,CAPACITE,NB_LOGEMENT,NB_SPLICES,NB_FIBRE_UTIL,FABRIQUANT,REF_BPE,NB_CASSETTES_MAX,CABLE_AMONT,STATUT,PROPRIETAIRE,GESTIONNAIRE,ADRESSSE,VILLE,CODE_POSTAL,COMMENT,X,Y,display_label,label_provenance,source_entity_key,source_handle,source_layer,geometry_role,style_aci,style_truecolor,style_linetype,style_lineweight,style_rotation,style_rotation_deg,style_qgis_rotation_deg,style_render_key,lineage_json,source_cad_length_m,dimension_length_m,source_segment_sum_m,source_native_length_delta_m,delivery_grid_length_m,geodesic_length_m
1,BOITE-CAD-21CE,,,,,,,,,,,,,,,,,,,,,,,13901863.79154248,146129.6903503245,,UNAVAILABLE,dc39971c34039874df33a60954e44046ebb0161e24ee7235cc166ff9fb0bed1c,21CE,FAT,SOURCE_ASSET,30,,Continuous,-1,0.0,0.0,0.0,ACI:30|LT:Continuous|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""dc39971c34039874df33a60954e44046ebb0161e24ee7235cc166ff9fb0bed1c"",""max_displacement_m"":0.0},{""operation"":""collocate_with_support"",""source_entity_key"":""dc39971c34039874df33a60954e44046ebb0161e24ee7235cc166ff9fb0bed1c"",""support_feature_key"":""a4c356e71507b91f986a9bff9d8b4a81da7209822e0c3e90599ac60384cc52fb"",""support_handle"":""1A00"",""max_displacement_m"":5.004589330704864}]",,,,,,
2,BOITE-CAD-21AD,,,,,,,,,,,,,,,,,,,,,,,13902163.47899962,145939.8592660858,,UNAVAILABLE,6a80da29bf4cc5fefa0198d68ff09a233bde96a3f2486a366128b7f746454cb5,21AD,FAT,SOURCE_ASSET,30,,Continuous,-1,0.0,0.0,0.0,ACI:30|LT:Continuous|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""6a80da29bf4cc5fefa0198d68ff09a233bde96a3f2486a366128b7f746454cb5"",""max_displacement_m"":0.0},{""operation"":""collocate_with_support"",""source_entity_key"":""6a80da29bf4cc5fefa0198d68ff09a233bde96a3f2486a366128b7f746454cb5"",""support_feature_key"":""6f696dd17c3e5d59313a0c290f71c0eb2d19052ac884f37cd24be1b59a43ecd1"",""support_handle"":""1989"",""max_displacement_m"":5.678075008552659}]",,,,,,
3,BOITE-CAD-2198,,,,,,,,,,,,,,,,,,,,,,,13901952.5793178,146009.3383299526,,UNAVAILABLE,4ab842876ab4e76c58e7e1df32d0f641a03e524287f384544105cb3ea3d0825e,2198,FAT,SOURCE_ASSET,30,,Continuous,-1,0.0,0.0,0.0,ACI:30|LT:Continuous|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""4ab842876ab4e76c58e7e1df32d0f641a03e524287f384544105cb3ea3d0825e"",""max_displacement_m"":0.0},{""operation"":""collocate_with_support"",""source_entity_key"":""4ab842876ab4e76c58e7e1df32d0f641a03e524287f384544105cb3ea3d0825e"",""support_feature_key"":""2618d1719b54fddbcdf8313f446f7c605f1f4286c760b8ac8a8125343e200e55"",""support_handle"":""1957"",""max_displacement_m"":5.908436681016505}]",,,,,,
4,BOITE-CAD-21C5,,,,,,,,,,,,,,,,,,,,,,,13901829.553604,146034.8975840939,,UNAVAILABLE,87132566b4da33f9ec72c937a1ea4058d8d441f39fdb0b8756b34d193eea6289,21C5,FAT,SOURCE_ASSET,30,,Continuous,-1,0.0,0.0,0.0,ACI:30|LT:Continuous|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""87132566b4da33f9ec72c937a1ea4058d8d441f39fdb0b8756b34d193eea6289"",""max_displacement_m"":0.0},{""operation"":""collocate_with_support"",""source_entity_key"":""87132566b4da33f9ec72c937a1ea4058d8d441f39fdb0b8756b34d193eea6289"",""support_feature_key"":""520422ec4f4584e8e7bc7cd9d96f64283db4d27e606b712f9e9af60a35b628b2"",""support_handle"":""19DD"",""max_displacement_m"":4.58825255755517}]",,,,,,
5,BOITE-CAD-21A7,,,,,,,,,,,,,,,,,,,,,,,13902290.40704238,145941.2486740437,,UNAVAILABLE,c5b3e47b00c46c46602427e6d66833f17783817352dda4ca3fc5af77a0c2b050,21A7,FAT,SOURCE_ASSET,30,,Continuous,-1,0.0,0.0,0.0,ACI:30|LT:Continuous|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""c5b3e47b00c46c46602427e6d66833f17783817352dda4ca3fc5af77a0c2b050"",""max_displacement_m"":0.0},{""operation"":""collocate_with_support"",""source_entity_key"":""c5b3e47b00c46c46602427e6d66833f17783817352dda4ca3fc5af77a0c2b050"",""support_feature_key"":""120c17593d02cca3d097e18a2107185b287d190b725e9f0b2e7e6276a9850b38"",""support_handle"":""2075"",""max_displacement_m"":4.947841316075797}]",,,,,,
6,BOITE-CAD-21B3,,,,,,,,,,,,,,,,,,,,,,,13902062.51222468,145875.3295574012,,UNAVAILABLE,4a6358021be3af014a1730610380459e999079e9694e07a5e7eae1940a1cc5df,21B3,FAT,SOURCE_ASSET,30,,Continuous,-1,0.0,0.0,0.0,ACI:30|LT:Continuous|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""4a6358021be3af014a1730610380459e999079e9694e07a5e7eae1940a1cc5df"",""max_displacement_m"":0.0},{""operation"":""collocate_with_support"",""source_entity_key"":""4a6358021be3af014a1730610380459e999079e9694e07a5e7eae1940a1cc5df"",""support_feature_key"":""2d7625393b68ee4e4dc044ddab81e1f8c60b0b8e8cd372d3f044a6633c1351b7"",""support_handle"":""19A5"",""max_displacement_m"":5.007769053335686}]",,,,,,
7,BOITE-CAD-2E21,,,,,,,,,,,,,,,,,,,,,,,13901970.54844272,145910.098506584,,UNAVAILABLE,90968cd5f9c5e5882140923d3c58517128349bd1ce89fc17b32fdbbc945925ae,2E21,FAT,SOURCE_ASSET,30,,Continuous,-1,0.0,0.0,0.0,ACI:30|LT:Continuous|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""90968cd5f9c5e5882140923d3c58517128349bd1ce89fc17b32fdbbc945925ae"",""max_displacement_m"":0.0},{""operation"":""collocate_with_support"",""source_entity_key"":""90968cd5f9c5e5882140923d3c58517128349bd1ce89fc17b32fdbbc945925ae"",""support_feature_key"":""fc07b77b7597341d1cbc52cfb537f181913739566d34d5f09e01ba71c1b91a32"",""support_handle"":""20B1"",""max_displacement_m"":4.186051913024635}]",,,,,,
8,BOITE-CAD-21B0,,,,,,,,,,,,,,,,,,,,,,,13902149.82054583,145869.2967421371,,UNAVAILABLE,2638e3c7d7b9657c504bb935430e7b009f014a3e3dbd4987b40c1c36fa9ceaf1,21B0,FAT,SOURCE_ASSET,30,,Continuous,-1,0.0,0.0,0.0,ACI:30|LT:Continuous|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""2638e3c7d7b9657c504bb935430e7b009f014a3e3dbd4987b40c1c36fa9ceaf1"",""max_displacement_m"":0.0},{""operation"":""collocate_with_support"",""source_entity_key"":""2638e3c7d7b9657c504bb935430e7b009f014a3e3dbd4987b40c1c36fa9ceaf1"",""support_feature_key"":""eada9534175e4c6f44a0c065a9f588688635e6480600e81dc409b816cd4f554a"",""support_handle"":""1990"",""max_displacement_m"":5.618124884587974}]",,,,,,
9,BOITE-CAD-21AA,,,,,,,,,,,,,,,,,,,,,,,13902210.8786939,145927.1497679065,,UNAVAILABLE,3ec525ea3df9beebaa1ddbc25afb170d460a7915702b1126310c700ebf502aef,21AA,FAT,SOURCE_ASSET,30,,Continuous,-1,0.0,0.0,0.0,ACI:30|LT:Continuous|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""3ec525ea3df9beebaa1ddbc25afb170d460a7915702b1126310c700ebf502aef"",""max_displacement_m"":0.0},{""operation"":""collocate_with_support"",""source_entity_key"":""3ec525ea3df9beebaa1ddbc25afb170d460a7915702b1126310c700ebf502aef"",""support_feature_key"":""05d0c65b918cfc353220d0af85254a55b3e860e5ec9497f1a22641b45fbe826e"",""support_handle"":""1A31"",""max_displacement_m"":6.3314587550842605}]",,,,,,
10,BOITE-CAD-21C2,,,,,,,,,,,,,,,,,,,,,,,13901850.54409942,145999.3571982403,,UNAVAILABLE,dd95f74cd1408d04a5c283453d709362705c357ff9466632452887ad27a2e140,21C2,FAT,SOURCE_ASSET,30,,Continuous,-1,0.0,0.0,0.0,ACI:30|LT:Continuous|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""dd95f74cd1408d04a5c283453d709362705c357ff9466632452887ad27a2e140"",""max_displacement_m"":0.0},{""operation"":""collocate_with_support"",""source_entity_key"":""dd95f74cd1408d04a5c283453d709362705c357ff9466632452887ad27a2e140"",""support_feature_key"":""ef7dffa0db9b6c04f2df730fab183788cbf0b5fe50705b68ee0f9cae9162b746"",""support_handle"":""1B8C"",""max_displacement_m"":5.294828041549589}]",,,,,,
