fid,CODE,CODE_PTC,REF_PLAQUE,REF_NRO,REF_PM,TYPE,TYPE_STRUCTURE,MODE_POSE,CAPACITE,NB_LOGEMENT,NB_SPLICES,NB_FIBRE_UTIL,FABRIQUANT,REF_BPE,NB_CASSETTES_MAX,CABLE_AMONT,STATUT,PROPRIETAIRE,GESTIONNAIRE,ADRESSSE,VILLE,CODE_POSTAL,COMMENT,X,Y,display_label,label_provenance,source_entity_key,source_handle,source_layer,geometry_role,style_aci,style_truecolor,style_linetype,style_lineweight,style_rotation,style_rotation_deg,style_qgis_rotation_deg,style_render_key,lineage_json,source_cad_length_m,dimension_length_m,source_segment_sum_m,source_native_length_delta_m,delivery_grid_length_m,geodesic_length_m
1,BOITE-CAD-7967,,,,,,,,,,,,,,,,,,,,,,,13901050.64940948,143691.5730754751,,UNAVAILABLE,6dbf328218134a707000ea5689c3fe029b4481abf419bf1c6e51787e340a0cee,7967,FAT_Info,SOURCE_ASSET,170,,Continuous,-1,4.935492931789326,282.78291480817745,77.2170851900144,ACI:170|LT:Continuous|LW:-1|ROT_QGIS:77.217085190,"[{""operation"":""identity"",""source_entity_key"":""6dbf328218134a707000ea5689c3fe029b4481abf419bf1c6e51787e340a0cee"",""max_displacement_m"":0.0},{""operation"":""collocate_with_support"",""source_entity_key"":""6dbf328218134a707000ea5689c3fe029b4481abf419bf1c6e51787e340a0cee"",""support_feature_key"":""093548520618d48106979c250286e820bdc186795d016c0243974b18c53dd4ca"",""support_handle"":""7943"",""max_displacement_m"":7.236103263086713}]",,,,,,
2,BOITE-CAD-7966,,,,,,,,,,,,,,,,,,,,,,,13901047.32521743,143707.7068486485,,UNAVAILABLE,e7c6173a0a8e6d944bb5c14e138101f0411466688a63b26e51a44f1cf4b1145d,7966,FAT_Info,SOURCE_ASSET,170,,Continuous,-1,5.511602843975229,315.7915813120822,44.208418693605765,ACI:170|LT:Continuous|LW:-1|ROT_QGIS:44.208418694,"[{""operation"":""identity"",""source_entity_key"":""e7c6173a0a8e6d944bb5c14e138101f0411466688a63b26e51a44f1cf4b1145d"",""max_displacement_m"":0.0},{""operation"":""collocate_with_support"",""source_entity_key"":""e7c6173a0a8e6d944bb5c14e138101f0411466688a63b26e51a44f1cf4b1145d"",""support_feature_key"":""49dc04938459c325cbd67fb088190088a6ce78cad214c7de938f7661ee79d010"",""support_handle"":""793B"",""max_displacement_m"":7.207539573518934}]",,,,,,
3,BOITE-CAD-795F,,,,,,,,,,,,,,,,,,,,,,,13901106.83182436,143744.9764732309,,UNAVAILABLE,a505c04d40e16dff9e4c0ed665cbf9b95161526508674ffcec6b36915a800285,795F,FAT_Info,SOURCE_ASSET,170,,Continuous,-1,5.752845631787392,329.61377489168916,30.38622511443813,ACI:170|LT:Continuous|LW:-1|ROT_QGIS:30.386225114,"[{""operation"":""identity"",""source_entity_key"":""a505c04d40e16dff9e4c0ed665cbf9b95161526508674ffcec6b36915a800285"",""max_displacement_m"":0.0},{""operation"":""collocate_with_support"",""source_entity_key"":""a505c04d40e16dff9e4c0ed665cbf9b95161526508674ffcec6b36915a800285"",""support_feature_key"":""ade2cd3545b11ef1c24042f71e589898b876d9624e9f3d3742538683989fb1c8"",""support_handle"":""7903"",""max_displacement_m"":3.9882732007790644}]",,,,,,
4,BOITE-CAD-795D,,,,,,,,,,,,,,,,,,,,,,,13901166.66467707,143708.5471240652,,UNAVAILABLE,243f4cdf476f12a1f5b44c399d8bb9790fc05f576c4fe18cdc1d74ee339a366a,795D,FAT_Info,SOURCE_ASSET,170,,Continuous,-1,5.752845631787392,329.61377489168916,30.38622511443813,ACI:170|LT:Continuous|LW:-1|ROT_QGIS:30.386225114,"[{""operation"":""identity"",""source_entity_key"":""243f4cdf476f12a1f5b44c399d8bb9790fc05f576c4fe18cdc1d74ee339a366a"",""max_displacement_m"":0.0},{""operation"":""collocate_with_support"",""source_entity_key"":""243f4cdf476f12a1f5b44c399d8bb9790fc05f576c4fe18cdc1d74ee339a366a"",""support_feature_key"":""f2e94555af82aee644afee88021ec8afaed44339430cf4162a85d449bde8dc78"",""support_handle"":""78F3"",""max_displacement_m"":3.8699961547328674}]",,,,,,
5,BOITE-CAD-79D1,,,,,,,,,,,,,,,,,,,,,,,13901050.64940948,143691.5730754751,,UNAVAILABLE,a3d583d0e0252887b858f31818534925ca72b90303079a379674d01ecbdfe55c,79D1,FAT,SOURCE_ASSET,30,,Continuous,-1,1.782676785889276,102.13985606740222,257.8601438998029,ACI:30|LT:Continuous|LW:-1|ROT_QGIS:257.860143900,"[{""operation"":""identity"",""source_entity_key"":""a3d583d0e0252887b858f31818534925ca72b90303079a379674d01ecbdfe55c"",""max_displacement_m"":0.0},{""operation"":""collocate_with_support"",""source_entity_key"":""a3d583d0e0252887b858f31818534925ca72b90303079a379674d01ecbdfe55c"",""support_feature_key"":""093548520618d48106979c250286e820bdc186795d016c0243974b18c53dd4ca"",""support_handle"":""7943"",""max_displacement_m"":5.1297727774451864}]",,,,,,
6,BOITE-CAD-795E,,,,,,,,,,,,,,,,,,,,,,,13901150.62191857,143718.5609395761,,UNAVAILABLE,fa281427a427d4e061f8263c228d1dc604ad1f3435454e26f25992cef80c5f70,795E,FAT_Info,SOURCE_ASSET,170,,Continuous,-1,5.752845631787392,329.61377489168916,30.38622511443813,ACI:170|LT:Continuous|LW:-1|ROT_QGIS:30.386225114,"[{""operation"":""identity"",""source_entity_key"":""fa281427a427d4e061f8263c228d1dc604ad1f3435454e26f25992cef80c5f70"",""max_displacement_m"":0.0},{""operation"":""collocate_with_support"",""source_entity_key"":""fa281427a427d4e061f8263c228d1dc604ad1f3435454e26f25992cef80c5f70"",""support_feature_key"":""52d32f61918cfd7e11a25c360b1fe3b30c197223fb2f2eddcaea1af944b200cb"",""support_handle"":""78FB"",""max_displacement_m"":3.663120755091116}]",,,,,,
7,BOITE-CAD-7965,,,,,,,,,,,,,,,,,,,,,,,13901022.20774341,143733.1389326813,,UNAVAILABLE,9e64c6e634b597dd41ea3409ce005b230d3d40c82c761dc84e839b9da3bc1c11,7965,FAT_Info,SOURCE_ASSET,170,,Continuous,-1,5.582741155446569,319.86750632107703,40.13249368205087,ACI:170|LT:Continuous|LW:-1|ROT_QGIS:40.132493682,"[{""operation"":""identity"",""source_entity_key"":""9e64c6e634b597dd41ea3409ce005b230d3d40c82c761dc84e839b9da3bc1c11"",""max_displacement_m"":0.0},{""operation"":""collocate_with_support"",""source_entity_key"":""9e64c6e634b597dd41ea3409ce005b230d3d40c82c761dc84e839b9da3bc1c11"",""support_feature_key"":""659dd858d8d99f350e5c812fc764fd02acee12045beb166c6cb941a84b7015df"",""support_handle"":""7933"",""max_displacement_m"":7.263635689050129}]",,,,,,
8,BOITE-CAD-7963,,,,,,,,,,,,,,,,,,,,,,,13900993.9666828,143776.5766091283,,UNAVAILABLE,181d55a3f3f4beb2bc50d55cbb66ddc58aa85bc9721588e53c42445beea46fa8,7963,FAT_Info,SOURCE_ASSET,170,,Continuous,-1,6.214907703620054,356.0879814807714,3.9120185213152885,ACI:170|LT:Continuous|LW:-1|ROT_QGIS:3.912018521,"[{""operation"":""identity"",""source_entity_key"":""181d55a3f3f4beb2bc50d55cbb66ddc58aa85bc9721588e53c42445beea46fa8"",""max_displacement_m"":0.0},{""operation"":""collocate_with_support"",""source_entity_key"":""181d55a3f3f4beb2bc50d55cbb66ddc58aa85bc9721588e53c42445beea46fa8"",""support_feature_key"":""d22d53ea1f693fda77eeebe861bce22d393345ce8d2ce032f64a683632879ea5"",""support_handle"":""7923"",""max_displacement_m"":3.6858967443659587}]",,,,,,
9,BOITE-CAD-7964,,,,,,,,,,,,,,,,,,,,,,,13900995.52159709,143755.9051562791,,UNAVAILABLE,6f181ec6e1a1745421fdf3eb5850baa4590c0c072a9a07e991432859dfa7e9d0,7964,FAT_Info,SOURCE_ASSET,170,,Continuous,-1,1.640367461328296,93.98613238470064,266.0138676439441,ACI:170|LT:Continuous|LW:-1|ROT_QGIS:266.013867644,"[{""operation"":""identity"",""source_entity_key"":""6f181ec6e1a1745421fdf3eb5850baa4590c0c072a9a07e991432859dfa7e9d0"",""max_displacement_m"":0.0},{""operation"":""collocate_with_support"",""source_entity_key"":""6f181ec6e1a1745421fdf3eb5850baa4590c0c072a9a07e991432859dfa7e9d0"",""support_feature_key"":""75ad8333fe59b5a5bc0aa5baa3268da19bc489dd1b9cd2a91b97cb9c3c3f2b9d"",""support_handle"":""792B"",""max_displacement_m"":3.768242554799521}]",,,,,,
10,BOITE-CAD-7961,,,,,,,,,,,,,,,,,,,,,,,13901058.64951283,143766.1298867157,,UNAVAILABLE,83fd50ac4711662925c07a98a5620fc6f6f596e764dd7dd03d36080621f9baae,7961,FAT_Info,SOURCE_ASSET,170,,Continuous,-1,5.752845631787392,329.61377489168916,30.38622511443813,ACI:170|LT:Continuous|LW:-1|ROT_QGIS:30.386225114,"[{""operation"":""identity"",""source_entity_key"":""83fd50ac4711662925c07a98a5620fc6f6f596e764dd7dd03d36080621f9baae"",""max_displacement_m"":0.0},{""operation"":""collocate_with_support"",""source_entity_key"":""83fd50ac4711662925c07a98a5620fc6f6f596e764dd7dd03d36080621f9baae"",""support_feature_key"":""0075036c00edeab1545270d2f0cdfe50b1b26f625c9db189b094289ba7ab810e"",""support_handle"":""7913"",""max_displacement_m"":3.9664465545604246}]",,,,,,
11,BOITE-CAD-7960,,,,,,,,,,,,,,,,,,,,,,,13901082.90745599,143753.1061067986,,UNAVAILABLE,e458484975fe0185a48762717360f586c73259bd2ba928657c784f44463b7f79,7960,FAT_Info,SOURCE_ASSET,170,,Continuous,-1,5.752845631787392,329.61377489168916,30.38622511443813,ACI:170|LT:Continuous|LW:-1|ROT_QGIS:30.386225114,"[{""operation"":""identity"",""source_entity_key"":""e458484975fe0185a48762717360f586c73259bd2ba928657c784f44463b7f79"",""max_displacement_m"":0.0},{""operation"":""collocate_with_support"",""source_entity_key"":""e458484975fe0185a48762717360f586c73259bd2ba928657c784f44463b7f79"",""support_feature_key"":""c3f98fba454fda8d865591bf922beaf1c18ddc0945df9806dfd788b461cc2edc"",""support_handle"":""794C"",""max_displacement_m"":3.5026764368443786}]",,,,,,
12,BOITE-CAD-7962,,,,,,,,,,,,,,,,,,,,,,,13901026.25939215,143774.9847146756,,UNAVAILABLE,fed3119d0d5465174d8c30ac185bf14fd4140375c91f6a3c707a43dc1b0f1cf3,7962,FAT_Info,SOURCE_ASSET,170,,Continuous,-1,6.035260065602497,345.7949300228714,14.20506998730276,ACI:170|LT:Continuous|LW:-1|ROT_QGIS:14.205069987,"[{""operation"":""identity"",""source_entity_key"":""fed3119d0d5465174d8c30ac185bf14fd4140375c91f6a3c707a43dc1b0f1cf3"",""max_displacement_m"":0.0},{""operation"":""collocate_with_support"",""source_entity_key"":""fed3119d0d5465174d8c30ac185bf14fd4140375c91f6a3c707a43dc1b0f1cf3"",""support_feature_key"":""69c4c42eb9525b865619e33788e670cfc312f4cf3f895f8a05a1ee57e1680adf"",""support_handle"":""791B"",""max_displacement_m"":4.327672893724264}]",,,,,,
13,BOITE-CAD-795C,,,,,,,,,,,,,,,,,,,,,,,13901194.93739918,143692.0836633652,,UNAVAILABLE,e73701134fed35516c16125957faac554f0eb91b09e4443024bbabf11ee19966,795C,FAT_Info,SOURCE_ASSET,170,,Continuous,-1,5.752845631787392,329.61377489168916,30.38622511443813,ACI:170|LT:Continuous|LW:-1|ROT_QGIS:30.386225114,"[{""operation"":""identity"",""source_entity_key"":""e73701134fed35516c16125957faac554f0eb91b09e4443024bbabf11ee19966"",""max_displacement_m"":0.0},{""operation"":""collocate_with_support"",""source_entity_key"":""e73701134fed35516c16125957faac554f0eb91b09e4443024bbabf11ee19966"",""support_feature_key"":""dde88b7a1ac2a23a59ad8f75547e9a6ac9a14deb0831673a8f2f30b808063ad1"",""support_handle"":""76EA"",""max_displacement_m"":8.797185403110934}]",,,,,,
