fid,CODE,route_key,source_entity_key,source_handle,source_layer,segment_index,source_segment_key,source_segment_kind,native_length_source,source_native_length_m,delivery_vertex_count,delivery_chord_length_native,materialization_policy_version,measurement_state,dimension_entity_key,measurement_native_m,measurement_delta_m,delivery_grid_length_m,geodesic_length_m,length_value_m,status,length_label,length_source,unit,schema_version,parent_cable_code,parent_display_label,parent_label_provenance,LONGUEUR,display_label,label_provenance,geometry_role,style_aci,style_truecolor,style_linetype,style_lineweight,style_rotation,style_rotation_deg,style_qgis_rotation_deg,style_render_key,lineage_json,source_cad_length_m,dimension_length_m,source_segment_sum_m,source_native_length_delta_m
1,CABLE-CAD-794B,fedea5ce47f38f2f2c0c2e4a3d9fc6f80ed0d53f2fbb8b173a6d5fe8f7e8fdd4,09053f3d848eff7e639bdeba0e2adc3c6b80cf395510f115c219f5d950380466,794B,FO 24 CORE,0,39bcc2f24d853881d9388c15af03ead0b3807fa845b40b5833aa416aae15fa76,line,ordered_wcs_vertices,32.741233067144506,2,32.741233067144506,cad2gis.bulge_tessellation.v1,cad_geometry_only,,,,32.741233067144506,32.67819342187332,32.741233067144506,unmeasured_no_dimension,,dwg_curve_geometry,m,cad2gis.cable_segment.v1,CABLE-CAD-794B,,UNAVAILABLE,32.741233067144506,,UNAVAILABLE,SOURCE_ROUTE_SEGMENT,3,,Continuous,-1,0.0,0.0,0.0,CABLE:24|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""09053f3d848eff7e639bdeba0e2adc3c6b80cf395510f115c219f5d950380466"",""max_displacement_m"":0.0},{""operation"":""segment_occurrence"",""parent_feature_key"":""fedea5ce47f38f2f2c0c2e4a3d9fc6f80ed0d53f2fbb8b173a6d5fe8f7e8fdd4"",""segment_index"":0,""source_segment_key"":""39bcc2f24d853881d9388c15af03ead0b3807fa845b40b5833aa416aae15fa76"",""source_segment_kind"":""line"",""geometry_policy"":""versioned-source-segment-delivery-path""}]",32.741233067144506,,,
2,CABLE-CAD-794B,fedea5ce47f38f2f2c0c2e4a3d9fc6f80ed0d53f2fbb8b173a6d5fe8f7e8fdd4,09053f3d848eff7e639bdeba0e2adc3c6b80cf395510f115c219f5d950380466,794B,FO 24 CORE,1,982adf9db06402ec7f5ea990952f3e087fdd58c875ae6670a80543cfb003f0c2,line,ordered_wcs_vertices,18.91154677392162,2,18.91154677392162,cad2gis.bulge_tessellation.v1,cad_geometry_only,,,,18.91154677392162,18.871395346331518,18.91154677392162,unmeasured_no_dimension,,dwg_curve_geometry,m,cad2gis.cable_segment.v1,CABLE-CAD-794B,,UNAVAILABLE,18.91154677392162,,UNAVAILABLE,SOURCE_ROUTE_SEGMENT,3,,Continuous,-1,0.0,0.0,0.0,CABLE:24|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""09053f3d848eff7e639bdeba0e2adc3c6b80cf395510f115c219f5d950380466"",""max_displacement_m"":0.0},{""operation"":""segment_occurrence"",""parent_feature_key"":""fedea5ce47f38f2f2c0c2e4a3d9fc6f80ed0d53f2fbb8b173a6d5fe8f7e8fdd4"",""segment_index"":1,""source_segment_key"":""982adf9db06402ec7f5ea990952f3e087fdd58c875ae6670a80543cfb003f0c2"",""source_segment_kind"":""line"",""geometry_policy"":""versioned-source-segment-delivery-path""}]",18.91154677392162,,,
3,CABLE-CAD-794B,fedea5ce47f38f2f2c0c2e4a3d9fc6f80ed0d53f2fbb8b173a6d5fe8f7e8fdd4,09053f3d848eff7e639bdeba0e2adc3c6b80cf395510f115c219f5d950380466,794B,FO 24 CORE,2,78d1fbea248f17410b6acc5643e0cd75df1487bcd30c7617f0a7a1dcd6f9484d,line,ordered_wcs_vertices,51.140519836760056,2,51.140519836760056,cad2gis.bulge_tessellation.v1,cad_geometry_only,,,,51.140519836760056,51.03657686380731,51.140519836760056,unmeasured_no_dimension,,dwg_curve_geometry,m,cad2gis.cable_segment.v1,CABLE-CAD-794B,,UNAVAILABLE,51.140519836760056,,UNAVAILABLE,SOURCE_ROUTE_SEGMENT,3,,Continuous,-1,0.0,0.0,0.0,CABLE:24|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""09053f3d848eff7e639bdeba0e2adc3c6b80cf395510f115c219f5d950380466"",""max_displacement_m"":0.0},{""operation"":""segment_occurrence"",""parent_feature_key"":""fedea5ce47f38f2f2c0c2e4a3d9fc6f80ed0d53f2fbb8b173a6d5fe8f7e8fdd4"",""segment_index"":2,""source_segment_key"":""78d1fbea248f17410b6acc5643e0cd75df1487bcd30c7617f0a7a1dcd6f9484d"",""source_segment_kind"":""line"",""geometry_policy"":""versioned-source-segment-delivery-path""}]",51.140519836760056,,,
4,CABLE-CAD-794B,fedea5ce47f38f2f2c0c2e4a3d9fc6f80ed0d53f2fbb8b173a6d5fe8f7e8fdd4,09053f3d848eff7e639bdeba0e2adc3c6b80cf395510f115c219f5d950380466,794B,FO 24 CORE,3,384f3a954dec40d1b6b6ab1549200544c7c4e241b7fb2a41372c8cec51898971,line,ordered_wcs_vertices,25.267891559528817,2,25.267891559528817,cad2gis.bulge_tessellation.v1,cad_geometry_only,,,,25.267891559528817,25.244074294610108,25.267891559528817,unmeasured_no_dimension,,dwg_curve_geometry,m,cad2gis.cable_segment.v1,CABLE-CAD-794B,,UNAVAILABLE,25.267891559528817,,UNAVAILABLE,SOURCE_ROUTE_SEGMENT,3,,Continuous,-1,0.0,0.0,0.0,CABLE:24|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""09053f3d848eff7e639bdeba0e2adc3c6b80cf395510f115c219f5d950380466"",""max_displacement_m"":0.0},{""operation"":""segment_occurrence"",""parent_feature_key"":""fedea5ce47f38f2f2c0c2e4a3d9fc6f80ed0d53f2fbb8b173a6d5fe8f7e8fdd4"",""segment_index"":3,""source_segment_key"":""384f3a954dec40d1b6b6ab1549200544c7c4e241b7fb2a41372c8cec51898971"",""source_segment_kind"":""line"",""geometry_policy"":""versioned-source-segment-delivery-path""}]",25.267891559528817,,,
5,CABLE-CAD-794B,fedea5ce47f38f2f2c0c2e4a3d9fc6f80ed0d53f2fbb8b173a6d5fe8f7e8fdd4,09053f3d848eff7e639bdeba0e2adc3c6b80cf395510f115c219f5d950380466,794B,FO 24 CORE,4,caa3ab8c4935a9f0f0a560cd5a9041f511ff64d8d0666d44ae4f6de8d5a34e89,line,ordered_wcs_vertices,27.5330101827467,2,27.5330101827467,cad2gis.bulge_tessellation.v1,cad_geometry_only,,,,27.5330101827467,27.48496194120432,27.5330101827467,unmeasured_no_dimension,,dwg_curve_geometry,m,cad2gis.cable_segment.v1,CABLE-CAD-794B,,UNAVAILABLE,27.5330101827467,,UNAVAILABLE,SOURCE_ROUTE_SEGMENT,3,,Continuous,-1,0.0,0.0,0.0,CABLE:24|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""09053f3d848eff7e639bdeba0e2adc3c6b80cf395510f115c219f5d950380466"",""max_displacement_m"":0.0},{""operation"":""segment_occurrence"",""parent_feature_key"":""fedea5ce47f38f2f2c0c2e4a3d9fc6f80ed0d53f2fbb8b173a6d5fe8f7e8fdd4"",""segment_index"":4,""source_segment_key"":""caa3ab8c4935a9f0f0a560cd5a9041f511ff64d8d0666d44ae4f6de8d5a34e89"",""source_segment_kind"":""line"",""geometry_policy"":""versioned-source-segment-delivery-path""}]",27.5330101827467,,,
6,CABLE-CAD-794B,fedea5ce47f38f2f2c0c2e4a3d9fc6f80ed0d53f2fbb8b173a6d5fe8f7e8fdd4,09053f3d848eff7e639bdeba0e2adc3c6b80cf395510f115c219f5d950380466,794B,FO 24 CORE,5,37eb00d11e202cbf3adb1b381ec3b254f4aef8e9e4ec1a1259ab5b00a9809b69,line,ordered_wcs_vertices,33.57868216343389,2,33.57868216343389,cad2gis.bulge_tessellation.v1,cad_geometry_only,,,,33.57868216343389,33.554639065183316,33.57868216343389,unmeasured_no_dimension,,dwg_curve_geometry,m,cad2gis.cable_segment.v1,CABLE-CAD-794B,,UNAVAILABLE,33.57868216343389,,UNAVAILABLE,SOURCE_ROUTE_SEGMENT,3,,Continuous,-1,0.0,0.0,0.0,CABLE:24|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""09053f3d848eff7e639bdeba0e2adc3c6b80cf395510f115c219f5d950380466"",""max_displacement_m"":0.0},{""operation"":""segment_occurrence"",""parent_feature_key"":""fedea5ce47f38f2f2c0c2e4a3d9fc6f80ed0d53f2fbb8b173a6d5fe8f7e8fdd4"",""segment_index"":5,""source_segment_key"":""37eb00d11e202cbf3adb1b381ec3b254f4aef8e9e4ec1a1259ab5b00a9809b69"",""source_segment_kind"":""line"",""geometry_policy"":""versioned-source-segment-delivery-path""}]",33.57868216343389,,,
7,CABLE-CAD-794B,fedea5ce47f38f2f2c0c2e4a3d9fc6f80ed0d53f2fbb8b173a6d5fe8f7e8fdd4,09053f3d848eff7e639bdeba0e2adc3c6b80cf395510f115c219f5d950380466,794B,FO 24 CORE,6,6765b55f33835eb398da486a6d724f398fd5b6966da90e2db1fcdf59419f8266,line,ordered_wcs_vertices,32.331922385622775,2,32.331922385622775,cad2gis.bulge_tessellation.v1,cad_geometry_only,,,,32.331922385622775,32.3232419561999,32.331922385622775,unmeasured_no_dimension,,dwg_curve_geometry,m,cad2gis.cable_segment.v1,CABLE-CAD-794B,,UNAVAILABLE,32.331922385622775,,UNAVAILABLE,SOURCE_ROUTE_SEGMENT,3,,Continuous,-1,0.0,0.0,0.0,CABLE:24|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""09053f3d848eff7e639bdeba0e2adc3c6b80cf395510f115c219f5d950380466"",""max_displacement_m"":0.0},{""operation"":""segment_occurrence"",""parent_feature_key"":""fedea5ce47f38f2f2c0c2e4a3d9fc6f80ed0d53f2fbb8b173a6d5fe8f7e8fdd4"",""segment_index"":6,""source_segment_key"":""6765b55f33835eb398da486a6d724f398fd5b6966da90e2db1fcdf59419f8266"",""source_segment_kind"":""line"",""geometry_policy"":""versioned-source-segment-delivery-path""}]",32.331922385622775,,,
8,CABLE-CAD-794B,fedea5ce47f38f2f2c0c2e4a3d9fc6f80ed0d53f2fbb8b173a6d5fe8f7e8fdd4,09053f3d848eff7e639bdeba0e2adc3c6b80cf395510f115c219f5d950380466,794B,FO 24 CORE,7,d15f711fe8160d455a8b54670261728244907a035e3b180cabb5191bfa4f1258,line,ordered_wcs_vertices,20.72985097260129,2,20.72985097260129,cad2gis.bulge_tessellation.v1,cad_geometry_only,,,,20.72985097260129,20.58673548454087,20.72985097260129,unmeasured_no_dimension,,dwg_curve_geometry,m,cad2gis.cable_segment.v1,CABLE-CAD-794B,,UNAVAILABLE,20.72985097260129,,UNAVAILABLE,SOURCE_ROUTE_SEGMENT,3,,Continuous,-1,0.0,0.0,0.0,CABLE:24|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""09053f3d848eff7e639bdeba0e2adc3c6b80cf395510f115c219f5d950380466"",""max_displacement_m"":0.0},{""operation"":""segment_occurrence"",""parent_feature_key"":""fedea5ce47f38f2f2c0c2e4a3d9fc6f80ed0d53f2fbb8b173a6d5fe8f7e8fdd4"",""segment_index"":7,""source_segment_key"":""d15f711fe8160d455a8b54670261728244907a035e3b180cabb5191bfa4f1258"",""source_segment_kind"":""line"",""geometry_policy"":""versioned-source-segment-delivery-path""}]",20.72985097260129,,,
9,CABLE-CAD-794B,fedea5ce47f38f2f2c0c2e4a3d9fc6f80ed0d53f2fbb8b173a6d5fe8f7e8fdd4,09053f3d848eff7e639bdeba0e2adc3c6b80cf395510f115c219f5d950380466,794B,FO 24 CORE,8,d4bb7c2f10c6dad7d409c0ac8a6b2d70e3fedebdbd6e32697da999230a21e08e,line,ordered_wcs_vertices,35.077789872783,2,35.077789872783,cad2gis.bulge_tessellation.v1,cad_geometry_only,,,,35.077789872783,34.970295214944855,35.077789872783,unmeasured_no_dimension,,dwg_curve_geometry,m,cad2gis.cable_segment.v1,CABLE-CAD-794B,,UNAVAILABLE,35.077789872783,,UNAVAILABLE,SOURCE_ROUTE_SEGMENT,3,,Continuous,-1,0.0,0.0,0.0,CABLE:24|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""09053f3d848eff7e639bdeba0e2adc3c6b80cf395510f115c219f5d950380466"",""max_displacement_m"":0.0},{""operation"":""segment_occurrence"",""parent_feature_key"":""fedea5ce47f38f2f2c0c2e4a3d9fc6f80ed0d53f2fbb8b173a6d5fe8f7e8fdd4"",""segment_index"":8,""source_segment_key"":""d4bb7c2f10c6dad7d409c0ac8a6b2d70e3fedebdbd6e32697da999230a21e08e"",""source_segment_kind"":""line"",""geometry_policy"":""versioned-source-segment-delivery-path""}]",35.077789872783,,,
10,CABLE-CAD-794B,fedea5ce47f38f2f2c0c2e4a3d9fc6f80ed0d53f2fbb8b173a6d5fe8f7e8fdd4,09053f3d848eff7e639bdeba0e2adc3c6b80cf395510f115c219f5d950380466,794B,FO 24 CORE,9,9003d622e32fb3dac5f1f547e8279d2d8f5dac1e8050f63f10357109b28e1bf1,line,ordered_wcs_vertices,35.74462755957934,2,35.74462755957934,cad2gis.bulge_tessellation.v1,cad_geometry_only,,,,35.74462755957934,35.614774485303904,35.74462755957934,unmeasured_no_dimension,,dwg_curve_geometry,m,cad2gis.cable_segment.v1,CABLE-CAD-794B,,UNAVAILABLE,35.74462755957934,,UNAVAILABLE,SOURCE_ROUTE_SEGMENT,3,,Continuous,-1,0.0,0.0,0.0,CABLE:24|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""09053f3d848eff7e639bdeba0e2adc3c6b80cf395510f115c219f5d950380466"",""max_displacement_m"":0.0},{""operation"":""segment_occurrence"",""parent_feature_key"":""fedea5ce47f38f2f2c0c2e4a3d9fc6f80ed0d53f2fbb8b173a6d5fe8f7e8fdd4"",""segment_index"":9,""source_segment_key"":""9003d622e32fb3dac5f1f547e8279d2d8f5dac1e8050f63f10357109b28e1bf1"",""source_segment_kind"":""line"",""geometry_policy"":""versioned-source-segment-delivery-path""}]",35.74462755957934,,,
