fid,CODE,NOM,REF_PLAQUE,TYPE,NATURE,HAUTEUR_APPUI,TYPE_APPUI,EFFORT_APPUI,NB_BOITIERS,STATUT,PROPRIETAIRE,GESTIONNAIRE,ADRESSSE,VILLE,CODE_POSTAL,COMMENT,X,Y,display_label,label_provenance,source_entity_key,source_handle,source_layer,geometry_role,style_aci,style_truecolor,style_linetype,style_lineweight,style_rotation,style_rotation_deg,style_qgis_rotation_deg,style_render_key,lineage_json,source_cad_length_m,dimension_length_m,source_segment_sum_m,source_native_length_delta_m,delivery_grid_length_m,geodesic_length_m
1,EXT.MR.MF.TMH.S02.P077,,,,,,,,,,,,,,,,13901058.64951283,143766.1298867157,EXT.MR.MF.TMH.S02.P077,DWG_DERIVED:pole-label-semantic|RULE:AI-ANNOTATION-ASSIGN-001,e79243585b3e371ab236c7f7a57de5c0f2f028b81df50324a4d49383bb4effa0,7913,EXT POLE,SOURCE_ASSET,1,,Continuous,-1,0.0003836747288109,0.021982942666690982,359.978017057275,PTECH:EXISTING|ROT_QGIS:359.978017057,"[{""operation"":""identity"",""source_entity_key"":""e79243585b3e371ab236c7f7a57de5c0f2f028b81df50324a4d49383bb4effa0"",""max_displacement_m"":0.0}]",,,,,,
2,MR.UP.TMH.EMR-46478.P005,,,,,,,,,,,,,,,,13901050.64940948,143691.5730754751,MR.UP.TMH.EMR-46478.P005,DWG_DERIVED:pole-label-semantic|RULE:AI-ANNOTATION-ASSIGN-001,e5c7d184ee52868a32abcc269b002e4d3bf9dd7d24adf1103abf0f372fb15c3a,7943,NEW POLE 7m(4 inches),SOURCE_ASSET,3,,Continuous,-1,0.0003836747288109,0.021982942666690982,359.978017057275,"PTECH:NP7 4""|ROT_QGIS:359.978017057","[{""operation"":""identity"",""source_entity_key"":""e5c7d184ee52868a32abcc269b002e4d3bf9dd7d24adf1103abf0f372fb15c3a"",""max_displacement_m"":0.0}]",,,,,,
3,MR.UP.TMH.EMR-46478.P004,,,,,,,,,,,,,,,,13901047.32521743,143707.7068486485,MR.UP.TMH.EMR-46478.P004,DWG_DERIVED:pole-label-semantic|RULE:AI-ANNOTATION-ASSIGN-001,899b9dc1b0161a89cdf3604b289ebf3c522f66f118c23782b3bfeb72f6d0c754,793B,NEW POLE 7m(4 inches),SOURCE_ASSET,3,,Continuous,-1,0.0003836747288109,0.021982942666690982,359.978017057275,"PTECH:NP7 4""|ROT_QGIS:359.978017057","[{""operation"":""identity"",""source_entity_key"":""899b9dc1b0161a89cdf3604b289ebf3c522f66f118c23782b3bfeb72f6d0c754"",""max_displacement_m"":0.0}]",,,,,,
4,EXT.MR.MF.TMH.S02.P080,,,,,,,,,,,,,,,,13901150.62191857,143718.5609395761,EXT.MR.MF.TMH.S02.P080,DWG_DERIVED:pole-label-semantic|RULE:AI-ANNOTATION-ASSIGN-001,b9e25681f7ee6e80a0a07d11c8c1828069fb39b1ca133b614154d6726b461253,78FB,EXT POLE,SOURCE_ASSET,1,,Continuous,-1,0.0003836747288109,0.021982942666690982,359.978017057275,PTECH:EXISTING|ROT_QGIS:359.978017057,"[{""operation"":""identity"",""source_entity_key"":""b9e25681f7ee6e80a0a07d11c8c1828069fb39b1ca133b614154d6726b461253"",""max_displacement_m"":0.0}]",,,,,,
5,MR.UP.TMH.EMR-46478.P003,,,,,,,,,,,,,,,,13901022.20774341,143733.1389326813,MR.UP.TMH.EMR-46478.P003,DWG_DERIVED:pole-label-semantic|RULE:AI-ANNOTATION-ASSIGN-001,5347c18a53c8633ccc122bf71e23eef9e550806a13f4d7979dc6587fdaf6ea81,7933,NEW POLE 7m(4 inches),SOURCE_ASSET,3,,Continuous,-1,0.0003836747288109,0.021982942666690982,359.978017057275,"PTECH:NP7 4""|ROT_QGIS:359.978017057","[{""operation"":""identity"",""source_entity_key"":""5347c18a53c8633ccc122bf71e23eef9e550806a13f4d7979dc6587fdaf6ea81"",""max_displacement_m"":0.0}]",,,,,,
6,EXT.MR.MF.TMH.S02.P076,,,,,,,,,,,,,,,,13901026.25939215,143774.9847146756,EXT.MR.MF.TMH.S02.P076,DWG_DERIVED:pole-label-semantic|RULE:AI-ANNOTATION-ASSIGN-001,1b2a26f71b48109cae3dbf75c0be80f2409b392425afe315b97a0ca94946c798,791B,EXT POLE,SOURCE_ASSET,1,,Continuous,-1,0.0003836747288109,0.021982942666690982,359.978017057275,PTECH:EXISTING|ROT_QGIS:359.978017057,"[{""operation"":""identity"",""source_entity_key"":""1b2a26f71b48109cae3dbf75c0be80f2409b392425afe315b97a0ca94946c798"",""max_displacement_m"":0.0}]",,,,,,
7,MR.UP.TMH.EMR-46478.P002,,,,,,,,,,,,,,,,13900995.52159709,143755.9051562791,MR.UP.TMH.EMR-46478.P002,DWG_DERIVED:pole-label-semantic|RULE:AI-ANNOTATION-ASSIGN-001,b8228af8c415fef25e7c3ce469bd2c6000939e9061a2d689c5434e099b0c0335,792B,NEW POLE 7m(4 inches),SOURCE_ASSET,3,,Continuous,-1,0.0003836747288109,0.021982942666690982,359.978017057275,"PTECH:NP7 4""|ROT_QGIS:359.978017057","[{""operation"":""identity"",""source_entity_key"":""b8228af8c415fef25e7c3ce469bd2c6000939e9061a2d689c5434e099b0c0335"",""max_displacement_m"":0.0}]",,,,,,
8,EXT.MR.MF.TMH.S02.P079,,,,,,,,,,,,,,,,13901106.83182436,143744.9764732309,EXT.MR.MF.TMH.S02.P079,DWG_DERIVED:pole-label-semantic|RULE:AI-ANNOTATION-ASSIGN-001,a5d9f20430a2015a2df29f8def24ed5d99b2ed260dc36598c8288aca50bc7729,7903,EXT POLE,SOURCE_ASSET,1,,Continuous,-1,0.0003836747288109,0.021982942666690982,359.978017057275,PTECH:EXISTING|ROT_QGIS:359.978017057,"[{""operation"":""identity"",""source_entity_key"":""a5d9f20430a2015a2df29f8def24ed5d99b2ed260dc36598c8288aca50bc7729"",""max_displacement_m"":0.0}]",,,,,,
9,MR.UP.TMH.EMR-46478.P001,,,,,,,,,,,,,,,,13901082.90745599,143753.1061067986,MR.UP.TMH.EMR-46478.P001,DWG_DERIVED:pole-label-semantic|RULE:AI-ANNOTATION-ASSIGN-001,0059751790c4c7bd6ed3f41f302c08bf3c33d57d5dd2cc5fe687ef2caa51c9bd,794C,NEW POLE 7m(4 inches),SOURCE_ASSET,3,,Continuous,-1,0.0003836747288109,0.021982942666690982,359.978017057275,"PTECH:NP7 4""|ROT_QGIS:359.978017057","[{""operation"":""identity"",""source_entity_key"":""0059751790c4c7bd6ed3f41f302c08bf3c33d57d5dd2cc5fe687ef2caa51c9bd"",""max_displacement_m"":0.0}]",,,,,,
10,EXT.MR.MF.TMH.S02.P075,,,,,,,,,,,,,,,,13900993.9666828,143776.5766091283,EXT.MR.MF.TMH.S02.P075,DWG_DERIVED:pole-label-semantic|RULE:AI-ANNOTATION-ASSIGN-001,62bd104563684e2c45750a5f3abd84458959319860aea46a8ec646f4982516ea,7923,EXT POLE,SOURCE_ASSET,1,,Continuous,-1,0.0003836747288109,0.021982942666690982,359.978017057275,PTECH:EXISTING|ROT_QGIS:359.978017057,"[{""operation"":""identity"",""source_entity_key"":""62bd104563684e2c45750a5f3abd84458959319860aea46a8ec646f4982516ea"",""max_displacement_m"":0.0}]",,,,,,
