layer,source_entity_key,source_handle,delivery_count,source_in_independent_plan,source_type,operations,hausdorff_native_m,delivery_union_length_native_m,source_curve_length_native_m,length_difference_native_m,status,distance_basis,point_anchor_displacement_m
BOITE,181d55a3f3f4beb2bc50d55cbb66ddc58aa85bc9721588e53c42445beea46fa8,7963,1,True,INSERT,collocate_with_support|identity,3.6858967443659587,,,,explicit_derived_displacement,source_Point_to_delivery_Point,3.6858967443659587
BOITE,243f4cdf476f12a1f5b44c399d8bb9790fc05f576c4fe18cdc1d74ee339a366a,795D,1,True,INSERT,collocate_with_support|identity,3.869996154732868,,,,explicit_derived_displacement,source_Point_to_delivery_Point,3.869996154732868
BOITE,6dbf328218134a707000ea5689c3fe029b4481abf419bf1c6e51787e340a0cee,7967,1,True,INSERT,collocate_with_support|identity,7.236103263086712,,,,explicit_derived_displacement,source_Point_to_delivery_Point,7.236103263086712
BOITE,6f181ec6e1a1745421fdf3eb5850baa4590c0c072a9a07e991432859dfa7e9d0,7964,1,True,INSERT,collocate_with_support|identity,3.768242554799521,,,,explicit_derived_displacement,source_Point_to_delivery_Point,3.768242554799521
BOITE,83fd50ac4711662925c07a98a5620fc6f6f596e764dd7dd03d36080621f9baae,7961,1,True,INSERT,collocate_with_support|identity,3.9664465545604246,,,,explicit_derived_displacement,source_Point_to_delivery_Point,3.9664465545604246
BOITE,9e64c6e634b597dd41ea3409ce005b230d3d40c82c761dc84e839b9da3bc1c11,7965,1,True,INSERT,collocate_with_support|identity,7.263635689050129,,,,explicit_derived_displacement,source_Point_to_delivery_Point,7.263635689050129
BOITE,a3d583d0e0252887b858f31818534925ca72b90303079a379674d01ecbdfe55c,79D1,1,True,INSERT,collocate_with_support|identity,5.1297727774451864,,,,explicit_derived_displacement,source_Point_to_delivery_Point,5.1297727774451864
BOITE,a505c04d40e16dff9e4c0ed665cbf9b95161526508674ffcec6b36915a800285,795F,1,True,INSERT,collocate_with_support|identity,3.9882732007790644,,,,explicit_derived_displacement,source_Point_to_delivery_Point,3.9882732007790644
BOITE,e458484975fe0185a48762717360f586c73259bd2ba928657c784f44463b7f79,7960,1,True,INSERT,collocate_with_support|identity,3.5026764368443786,,,,explicit_derived_displacement,source_Point_to_delivery_Point,3.5026764368443786
BOITE,e73701134fed35516c16125957faac554f0eb91b09e4443024bbabf11ee19966,795C,1,True,INSERT,collocate_with_support|identity,8.797185403110934,,,,explicit_derived_displacement,source_Point_to_delivery_Point,8.797185403110934
