entity_key,source_handle,dwg_type,source_layer,text,canonical_disposition,delivery_feature_count,delivery_layers,meaning,definition_entity_key,definition_retained_in_canonical_ledger,instance_parent_keys,all_instance_parents_retained_in_canonical_ledger,instance_parent_dispositions
0019e959d3e3b86520bbb7586752140cba7e02c384ef310daf30728b48f4e019,15A5,MTEXT,HOMENUMBER,11,mapped,0,{},not_delivered_not_automatically_missing,,False,,False,
001fcf57dbb48ffb8fd8cfd6da8e0c04e7be96eb8111fb7f490213bef4650e72,6790,LWPOLYLINE,FDT STRUCTURE,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
003026c9f7e23b43c3302684a6f35c3b93fe4369829cf0f11eb3728023079445,6987,LINE,Line,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
0059751790c4c7bd6ed3f41f302c08bf3c33d57d5dd2cc5fe687ef2caa51c9bd,794C,INSERT,NEW POLE 7m(4 inches),"COORDINAT=1.290709°124.875240°
ID=Slack Cable 24C.01
IDENTITY=Cable From EMR-29619-48C-01
IDENTITY2=BTS-UPLINK_FWA_OLT_TOMOHON_TO_EMR- 29619_FO_24C
MARKING=XXX
PLACE=MR.UP.TMH.EMR-46478.P005
SLACK=20",mapped,1,"{""PTECH"": 1}",delivered,,False,,False,
0059a32b2c9233d6448d91f86c20502608c6287b19415bd9785da75ef257e890,2E74,TEXT,SLACK,SLACK.11,annotation,0,{},not_delivered_not_automatically_missing,,False,,False,
005b0e23d4bc06b93f78611369ac689a91885d5cdfdd5266853bf97bee830bc9,1678,MTEXT,HOMENUMBER,221,mapped,0,{},not_delivered_not_automatically_missing,,False,,False,
0064ee576bd612ecfa5b9803fb4bb93eee4aa21d8eda35207c7f5f3fe1ab26f9,6581,LWPOLYLINE,FDT STRUCTURE,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
0064fd9082dd27b9eb0cc756f92df71f9e3ab329458d92d5c2e03c6d6bc58ada,685A,LINE,FDT STRUCTURE,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
006c8937641507969d0849141d099ad23f7ed8551871db8340ce12576121ea52,1712,LINE,Basic Map,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
009e9f95daca94027630d595be5e246ab2539f9f7a0588eb7390380ef53f1e39,6736,LWPOLYLINE,FDT STRUCTURE,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
00b00627665c399ad0ab0a6c07358a35401572697e31496a782a7bdddb14b944,560E,LWPOLYLINE,FDT SP,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
