layer,source_entity_key,source_handle,delivery_count,source_in_independent_plan,source_type,operations,hausdorff_native_m,delivery_union_length_native_m,source_curve_length_native_m,length_difference_native_m,status,distance_basis,point_anchor_displacement_m
BOITE,171730bc9ccb2ef131846cf9a2063861d1f31da03acfe0da14548846149439ee,21CB,1,True,INSERT,collocate_with_support|identity,5.435212094917881,,,,explicit_derived_displacement,source_Point_to_delivery_Point,5.435212094917881
BOITE,2638e3c7d7b9657c504bb935430e7b009f014a3e3dbd4987b40c1c36fa9ceaf1,21B0,1,True,INSERT,collocate_with_support|identity,5.618124884587974,,,,explicit_derived_displacement,source_Point_to_delivery_Point,5.618124884587974
BOITE,3ec525ea3df9beebaa1ddbc25afb170d460a7915702b1126310c700ebf502aef,21AA,1,True,INSERT,collocate_with_support|identity,6.3314587550842605,,,,explicit_derived_displacement,source_Point_to_delivery_Point,6.3314587550842605
BOITE,4a6358021be3af014a1730610380459e999079e9694e07a5e7eae1940a1cc5df,21B3,1,True,INSERT,collocate_with_support|identity,5.007769053335686,,,,explicit_derived_displacement,source_Point_to_delivery_Point,5.007769053335686
BOITE,4ab842876ab4e76c58e7e1df32d0f641a03e524287f384544105cb3ea3d0825e,2198,1,True,INSERT,collocate_with_support|identity,5.908436681016505,,,,explicit_derived_displacement,source_Point_to_delivery_Point,5.908436681016505
BOITE,53dee1f24901a9e45787bd080775816c513b85a998c3201783fa7bb01560ae79,21BC,1,True,INSERT,collocate_with_support|identity,4.7337459621882365,,,,explicit_derived_displacement,source_Point_to_delivery_Point,4.7337459621882365
BOITE,64b568e5a52d8d59e0fcdf618bfcc4a629a7839dff5db0ec347876307133e736,21B6,1,True,INSERT,collocate_with_support|identity,4.743625311727713,,,,explicit_derived_displacement,source_Point_to_delivery_Point,4.743625311727713
BOITE,6a80da29bf4cc5fefa0198d68ff09a233bde96a3f2486a366128b7f746454cb5,21AD,1,True,INSERT,collocate_with_support|identity,5.678075008552659,,,,explicit_derived_displacement,source_Point_to_delivery_Point,5.678075008552659
BOITE,7ad2d44dbf4ada4b23c5ccb7a12b5c9059436c075a151b45152beb88b0c910ee,21B9,1,True,INSERT,collocate_with_support|identity,5.791200038070927,,,,explicit_derived_displacement,source_Point_to_delivery_Point,5.791200038070927
BOITE,87132566b4da33f9ec72c937a1ea4058d8d441f39fdb0b8756b34d193eea6289,21C5,1,True,INSERT,collocate_with_support|identity,4.588252557555171,,,,explicit_derived_displacement,source_Point_to_delivery_Point,4.588252557555171
BOITE,90968cd5f9c5e5882140923d3c58517128349bd1ce89fc17b32fdbbc945925ae,2E21,1,True,INSERT,collocate_with_support|identity,4.1860519130246345,,,,explicit_derived_displacement,source_Point_to_delivery_Point,4.1860519130246345
BOITE,ad8fa811b4938101858ef6de77f972f889856834e04ccf5b95d4757448e8b370,21BF,1,True,INSERT,collocate_with_support|identity,4.452404623779504,,,,explicit_derived_displacement,source_Point_to_delivery_Point,4.452404623779504
BOITE,c5b3e47b00c46c46602427e6d66833f17783817352dda4ca3fc5af77a0c2b050,21A7,1,True,INSERT,collocate_with_support|identity,4.947841316075797,,,,explicit_derived_displacement,source_Point_to_delivery_Point,4.947841316075797
BOITE,dc39971c34039874df33a60954e44046ebb0161e24ee7235cc166ff9fb0bed1c,21CE,1,True,INSERT,collocate_with_support|identity,5.004589330704864,,,,explicit_derived_displacement,source_Point_to_delivery_Point,5.004589330704864
BOITE,dd95f74cd1408d04a5c283453d709362705c357ff9466632452887ad27a2e140,21C2,1,True,INSERT,collocate_with_support|identity,5.294828041549589,,,,explicit_derived_displacement,source_Point_to_delivery_Point,5.294828041549589
CABLE,08aded885f3047f22b54cd096ad65443a666177dd7c61f41cafbb5f835a5a1f9,323E,1,True,LINE,identity|segment_occurrence,0.0,37.482111097961386,37.482111097961386,0.0,within_numeric_and_curve_sampling_tolerance,source_LineString_to_delivery_LineString,
CABLE,154ff0a071af46309f4e0dcadbead871d1dcd2af6c7ae35b825df475ffcf57d7,324B,1,True,LINE,identity|segment_occurrence,0.0,38.754608042781754,38.754608042781754,0.0,within_numeric_and_curve_sampling_tolerance,source_LineString_to_delivery_LineString,
CABLE,1dfee5ea9fbc16efc5751945629aeb645b154a2134f9ca872451cdf2d9c725d8,3242,1,True,LINE,identity|segment_occurrence,0.0,35.43545105111401,35.43545105111401,0.0,within_numeric_and_curve_sampling_tolerance,source_LineString_to_delivery_LineString,
CABLE,1e76b102c1c52429c0d203ae1dd00d9ec3fdf4fecf3ebf28bd6ccc4e19c7c12d,3247,1,True,LINE,identity|segment_occurrence,0.0,41.191311904793686,41.191311904793686,0.0,within_numeric_and_curve_sampling_tolerance,source_LineString_to_delivery_LineString,
CABLE,2c734cde14d46d058972588777cc2080f33b11522838c7cc0e1950e11794f21b,324C,1,True,LINE,identity|segment_occurrence,0.0,26.95996745848243,26.95996745848243,0.0,within_numeric_and_curve_sampling_tolerance,source_LineString_to_delivery_LineString,
CABLE,4b0c7fcaea23487d8bffc5eaa87d8e65ec653460454b9c0eea770d80dd8b77fe,3246,1,True,LINE,identity|segment_occurrence,0.0,31.1165784624276,31.1165784624276,0.0,within_numeric_and_curve_sampling_tolerance,source_LineString_to_delivery_LineString,
