layer,delivery_fid,source_entity_key,source_handle,field_name,delivery_value,recorded_value,provenance,missing_value,recorded_comparison,direct_source_text_match,source_texts,selected_annotation_keys,verified_selected_annotation_texts,heuristic_number_label_keys,verified_heuristic_number_texts,replacement_character_in_delivery,replacement_character_in_source_text
SITE,1,6da9135d3191cf4890533ba899bf935ba32fc873c7c0ecdc18093d60e4e9da9e,A4BEC,CODE,SRG.100.0402.TGGR04-1.022,SRG.100.0402.TGGR04-1.022,DWG_DERIVED:AI-ANNOTATION-OBSERVED_6C5965C1CFA966B6287DE2130AC4DF3E-001|RULE:AI-ANNOTATION-ASSIGN-001,False,exact,verified_selected_annotation,"[""""]",1a18f5de3a2980c2f01cd8d3fca22b5bcadd8c25fad02dd49e4af6f54819fb58,"[""SRG.100.0402.TGGR04-1.022""]",,[],False,False
SITE,1,6da9135d3191cf4890533ba899bf935ba32fc873c7c0ecdc18093d60e4e9da9e,A4BEC,REF_PLAQUE,,,UNAVAILABLE,True,missing_value,not_a_text_check,"[""""]",1a18f5de3a2980c2f01cd8d3fca22b5bcadd8c25fad02dd49e4af6f54819fb58,"[""SRG.100.0402.TGGR04-1.022""]",,[],False,False
SITE,1,6da9135d3191cf4890533ba899bf935ba32fc873c7c0ecdc18093d60e4e9da9e,A4BEC,REF_NRO,,,UNAVAILABLE,True,missing_value,not_a_text_check,"[""""]",1a18f5de3a2980c2f01cd8d3fca22b5bcadd8c25fad02dd49e4af6f54819fb58,"[""SRG.100.0402.TGGR04-1.022""]",,[],False,False
SITE,1,6da9135d3191cf4890533ba899bf935ba32fc873c7c0ecdc18093d60e4e9da9e,A4BEC,TYPE,,,UNAVAILABLE,True,missing_value,not_a_text_check,"[""""]",1a18f5de3a2980c2f01cd8d3fca22b5bcadd8c25fad02dd49e4af6f54819fb58,"[""SRG.100.0402.TGGR04-1.022""]",,[],False,False
SITE,1,6da9135d3191cf4890533ba899bf935ba32fc873c7c0ecdc18093d60e4e9da9e,A4BEC,FABRIQUANT,,,UNAVAILABLE,True,missing_value,not_a_text_check,"[""""]",1a18f5de3a2980c2f01cd8d3fca22b5bcadd8c25fad02dd49e4af6f54819fb58,"[""SRG.100.0402.TGGR04-1.022""]",,[],False,False
SITE,1,6da9135d3191cf4890533ba899bf935ba32fc873c7c0ecdc18093d60e4e9da9e,A4BEC,REF_PRODUIT,,,UNAVAILABLE,True,missing_value,not_a_text_check,"[""""]",1a18f5de3a2980c2f01cd8d3fca22b5bcadd8c25fad02dd49e4af6f54819fb58,"[""SRG.100.0402.TGGR04-1.022""]",,[],False,False
SITE,1,6da9135d3191cf4890533ba899bf935ba32fc873c7c0ecdc18093d60e4e9da9e,A4BEC,MODE_POSE,,,UNAVAILABLE,True,missing_value,not_a_text_check,"[""""]",1a18f5de3a2980c2f01cd8d3fca22b5bcadd8c25fad02dd49e4af6f54819fb58,"[""SRG.100.0402.TGGR04-1.022""]",,[],False,False
SITE,1,6da9135d3191cf4890533ba899bf935ba32fc873c7c0ecdc18093d60e4e9da9e,A4BEC,STATUT,,,UNAVAILABLE,True,missing_value,not_a_text_check,"[""""]",1a18f5de3a2980c2f01cd8d3fca22b5bcadd8c25fad02dd49e4af6f54819fb58,"[""SRG.100.0402.TGGR04-1.022""]",,[],False,False
SITE,1,6da9135d3191cf4890533ba899bf935ba32fc873c7c0ecdc18093d60e4e9da9e,A4BEC,PROPRIETAIRE,,,UNAVAILABLE,True,missing_value,not_a_text_check,"[""""]",1a18f5de3a2980c2f01cd8d3fca22b5bcadd8c25fad02dd49e4af6f54819fb58,"[""SRG.100.0402.TGGR04-1.022""]",,[],False,False
SITE,1,6da9135d3191cf4890533ba899bf935ba32fc873c7c0ecdc18093d60e4e9da9e,A4BEC,GESTIONNAIRE,,,UNAVAILABLE,True,missing_value,not_a_text_check,"[""""]",1a18f5de3a2980c2f01cd8d3fca22b5bcadd8c25fad02dd49e4af6f54819fb58,"[""SRG.100.0402.TGGR04-1.022""]",,[],False,False
