fid,CODE,route_key,source_entity_key,source_handle,source_layer,segment_index,source_segment_key,source_segment_kind,native_length_source,source_native_length_m,delivery_vertex_count,delivery_chord_length_native,materialization_policy_version,measurement_state,dimension_entity_key,measurement_native_m,measurement_delta_m,delivery_grid_length_m,geodesic_length_m,length_value_m,status,length_label,length_source,unit,schema_version,parent_cable_code,parent_display_label,parent_label_provenance,LONGUEUR,display_label,label_provenance,geometry_role,style_aci,style_truecolor,style_linetype,style_lineweight,style_rotation,style_rotation_deg,style_qgis_rotation_deg,style_render_key,lineage_json,source_cad_length_m,dimension_length_m,source_segment_sum_m,source_native_length_delta_m
1,CABLE-CAD-4DA16,0234319fd3b7109986be095e9c9824e881249d6fca93f17780bcbfb385310bb0,d1e7b6e2be228d8b5d18074adfb11d1fcf3bd22e19aca911a30742fe14301c40,4DA16,SLING WIRE,0,68e6c555515de8f0bbe69c7cc37eb60079b8b092ce958cf4e97e6177814a4b8e,line,ordered_wcs_vertices,14.809903915886201,2,14.809903915886201,cad2gis.bulge_tessellation.v1,dimension_measured,84d9c4814e07b03e7651a44ac18787e46897057f9278b4391df2339260e7fa40,14.80990391588784,1.6395773627664312e-12,14.809903916308985,14.797243997709499,14.80990391588784,measured,14.8099m,dwg_dimension,m,cad2gis.cable_segment.v1,CABLE-CAD-4DA16,,UNAVAILABLE,14.809903916308985,,UNAVAILABLE,SOURCE_ROUTE_SEGMENT,4,,BYLAYER,30,0.0,0.0,0.0,CABLE:SLING WIRE|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""d1e7b6e2be228d8b5d18074adfb11d1fcf3bd22e19aca911a30742fe14301c40"",""max_displacement_m"":0.0},{""operation"":""segment_occurrence"",""parent_feature_key"":""0234319fd3b7109986be095e9c9824e881249d6fca93f17780bcbfb385310bb0"",""segment_index"":0,""source_segment_key"":""68e6c555515de8f0bbe69c7cc37eb60079b8b092ce958cf4e97e6177814a4b8e"",""source_segment_kind"":""line"",""geometry_policy"":""versioned-source-segment-delivery-path""}]",14.80990391588784,,,
2,CABLE-CAD-4DA16,0234319fd3b7109986be095e9c9824e881249d6fca93f17780bcbfb385310bb0,d1e7b6e2be228d8b5d18074adfb11d1fcf3bd22e19aca911a30742fe14301c40,4DA16,SLING WIRE,1,8a66b28d96755c29eb517f3c8e10297d96af6114d93d527b6350bb095e2b6d7a,line,ordered_wcs_vertices,49.49168635284509,2,49.49168635284509,cad2gis.bulge_tessellation.v1,dimension_measured,f67c6a042f2024518afbffc4db78d6bed832a24f338c1a30eae572bb70afddc1,49.49168635284514,4.973799150320701e-14,49.49168635298788,49.44939089641525,49.49168635284514,measured,49.4917m,dwg_dimension,m,cad2gis.cable_segment.v1,CABLE-CAD-4DA16,,UNAVAILABLE,49.49168635298788,,UNAVAILABLE,SOURCE_ROUTE_SEGMENT,4,,BYLAYER,30,0.0,0.0,0.0,CABLE:SLING WIRE|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""d1e7b6e2be228d8b5d18074adfb11d1fcf3bd22e19aca911a30742fe14301c40"",""max_displacement_m"":0.0},{""operation"":""segment_occurrence"",""parent_feature_key"":""0234319fd3b7109986be095e9c9824e881249d6fca93f17780bcbfb385310bb0"",""segment_index"":1,""source_segment_key"":""8a66b28d96755c29eb517f3c8e10297d96af6114d93d527b6350bb095e2b6d7a"",""source_segment_kind"":""line"",""geometry_policy"":""versioned-source-segment-delivery-path""}]",49.49168635284514,,,
3,CABLE-CAD-4D9EB,1a3e953b88b5331bc07e1a0f4d515f8ecc3e3e9b5e3f38c647c2649b8d514d26,c1c49f1927ac2554e1ec59dd78ab37abbfd95b1f4987cd57eb12758a04c67fbd,4D9EB,SLING WIRE,0,9f57365c4c5d939f01a8e5dbe64c5795bb9c483348b845c12dfed41829c7b415,line,ordered_wcs_vertices,55.61324509992635,2,55.61324509992635,cad2gis.bulge_tessellation.v1,dimension_measured,df674759e46c6da53c4c8e136a87c97bf2fa287e58bba21a86f28401dac4a97e,55.61324509992573,-6.252776074688882e-13,55.61324509985138,55.565808699820245,55.61324509992573,measured,55.6132m,dwg_dimension,m,cad2gis.cable_segment.v1,CABLE-CAD-4D9EB,,UNAVAILABLE,55.61324509985138,,UNAVAILABLE,SOURCE_ROUTE_SEGMENT,4,,BYLAYER,30,0.0,0.0,0.0,CABLE:SLING WIRE|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""c1c49f1927ac2554e1ec59dd78ab37abbfd95b1f4987cd57eb12758a04c67fbd"",""max_displacement_m"":0.0},{""operation"":""segment_occurrence"",""parent_feature_key"":""1a3e953b88b5331bc07e1a0f4d515f8ecc3e3e9b5e3f38c647c2649b8d514d26"",""segment_index"":0,""source_segment_key"":""9f57365c4c5d939f01a8e5dbe64c5795bb9c483348b845c12dfed41829c7b415"",""source_segment_kind"":""line"",""geometry_policy"":""versioned-source-segment-delivery-path""}]",55.61324509992573,,,
4,CABLE-CAD-4D9F5,325ecad2a873983bf38f382514f9c80bab8b92662713e40dbc78ec55e1398eaa,63096167f95e6980cda30582ae8832cf8c0082cfa25c8c903c8f8745e37308ff,4D9F5,SLING WIRE,0,5b7f62d8c1a1e9fa524c23f00341ad9aa937040b09dd978dc4a47e29ce23a336,line,ordered_wcs_vertices,40.08559136091095,2,40.08559136091095,cad2gis.bulge_tessellation.v1,dimension_measured,e2788bd1e356d8b08edf3ef90ff20d6eaf146fbae8651f746955d27d35aec04e,40.08559136091208,1.1297629498585593e-12,40.08559136209621,40.051332648905884,40.08559136091208,measured,40.0856m,dwg_dimension,m,cad2gis.cable_segment.v1,CABLE-CAD-4D9F5,,UNAVAILABLE,40.08559136209621,,UNAVAILABLE,SOURCE_ROUTE_SEGMENT,4,,BYLAYER,30,0.0,0.0,0.0,CABLE:SLING WIRE|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""63096167f95e6980cda30582ae8832cf8c0082cfa25c8c903c8f8745e37308ff"",""max_displacement_m"":0.0},{""operation"":""segment_occurrence"",""parent_feature_key"":""325ecad2a873983bf38f382514f9c80bab8b92662713e40dbc78ec55e1398eaa"",""segment_index"":0,""source_segment_key"":""5b7f62d8c1a1e9fa524c23f00341ad9aa937040b09dd978dc4a47e29ce23a336"",""source_segment_kind"":""line"",""geometry_policy"":""versioned-source-segment-delivery-path""}]",40.08559136091208,,,
5,CABLE-CAD-4DA15,358c9dc36fd2feac523a793734c4f7a565e67e97684f32d2fcb583b54522ce26,222ab2b9fb1304b9de7299557d69d2b5458a9a488b4f2297da650e8db0c76e94,4DA15,SLING WIRE,0,ace34d4d9192a729f247e73922947484deffced3838417dc1e5b06334faa508d,line,ordered_wcs_vertices,42.73577798302031,2,42.73577798302031,cad2gis.bulge_tessellation.v1,dimension_measured,a73856f1013c2f453bbcfd2ee91f121b6b002a697e478f7c2176ae27bfd518b6,42.73577798302176,1.4495071809506044e-12,42.73577798331633,42.699316216885244,42.73577798302176,measured,42.7358m,dwg_dimension,m,cad2gis.cable_segment.v1,CABLE-CAD-4DA15,,UNAVAILABLE,42.73577798331633,,UNAVAILABLE,SOURCE_ROUTE_SEGMENT,4,,BYLAYER,30,0.0,0.0,0.0,CABLE:SLING WIRE|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""222ab2b9fb1304b9de7299557d69d2b5458a9a488b4f2297da650e8db0c76e94"",""max_displacement_m"":0.0},{""operation"":""segment_occurrence"",""parent_feature_key"":""358c9dc36fd2feac523a793734c4f7a565e67e97684f32d2fcb583b54522ce26"",""segment_index"":0,""source_segment_key"":""ace34d4d9192a729f247e73922947484deffced3838417dc1e5b06334faa508d"",""source_segment_kind"":""line"",""geometry_policy"":""versioned-source-segment-delivery-path""}]",42.73577798302176,,,
6,CABLE-CAD-4DA14,359d088c1ca91e048baf3479963c146b23546e8d4232f43fa1e313459cdd75c8,178a9f03a8940d57872f7066ed1f9184c2ac98d8b53dc3f1d19785b27ed2e96c,4DA14,SLING WIRE,0,d5b89aac8179a4aac7893f5c672da4708a05f4a13a50623c99dfd1acb20a750d,line,ordered_wcs_vertices,44.35796724440891,2,44.35796724440891,cad2gis.bulge_tessellation.v1,dimension_measured,21ee536ca1516497126d0f3239137621b04cb8e9b1983c82f3788b926d9568ba,44.35796724440843,-4.831690603168681e-13,44.35796724451211,44.32003519500895,44.35796724440843,measured,44.358m,dwg_dimension,m,cad2gis.cable_segment.v1,CABLE-CAD-4DA14,,UNAVAILABLE,44.35796724451211,,UNAVAILABLE,SOURCE_ROUTE_SEGMENT,4,,BYLAYER,30,0.0,0.0,0.0,CABLE:SLING WIRE|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""178a9f03a8940d57872f7066ed1f9184c2ac98d8b53dc3f1d19785b27ed2e96c"",""max_displacement_m"":0.0},{""operation"":""segment_occurrence"",""parent_feature_key"":""359d088c1ca91e048baf3479963c146b23546e8d4232f43fa1e313459cdd75c8"",""segment_index"":0,""source_segment_key"":""d5b89aac8179a4aac7893f5c672da4708a05f4a13a50623c99dfd1acb20a750d"",""source_segment_kind"":""line"",""geometry_policy"":""versioned-source-segment-delivery-path""}]",44.35796724440843,,,
7,CABLE-CAD-4D9D0,3fe3525e93f14cddc70c4c5e36aa9738f0bb5ff14be4563c75adf6bcd9211ce1,9cff6c995d9cee0d327c5fdbaea4ebc376f1ef0b45e623a8cea1f1d270745976,4D9D0,SLING WIRE,0,f6b29b59b7d9247da1519f1c56fa2e477f1025d19596cc331b55a4e84b584f77,line,ordered_wcs_vertices,46.30173810952937,2,46.30173810952937,cad2gis.bulge_tessellation.v1,dimension_measured,5517ff80c9e3f1758ce5a153b4133754306dd025d91ee6afbd0bd62d64e5035b,46.30173810952874,-6.252776074688882e-13,46.30173810945083,46.26224360827056,46.30173810952874,measured,46.3017m,dwg_dimension,m,cad2gis.cable_segment.v1,CABLE-CAD-4D9D0,,UNAVAILABLE,46.30173810945083,,UNAVAILABLE,SOURCE_ROUTE_SEGMENT,4,,BYLAYER,30,0.0,0.0,0.0,CABLE:SLING WIRE|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""9cff6c995d9cee0d327c5fdbaea4ebc376f1ef0b45e623a8cea1f1d270745976"",""max_displacement_m"":0.0},{""operation"":""segment_occurrence"",""parent_feature_key"":""3fe3525e93f14cddc70c4c5e36aa9738f0bb5ff14be4563c75adf6bcd9211ce1"",""segment_index"":0,""source_segment_key"":""f6b29b59b7d9247da1519f1c56fa2e477f1025d19596cc331b55a4e84b584f77"",""source_segment_kind"":""line"",""geometry_policy"":""versioned-source-segment-delivery-path""}]",46.30173810952874,,,
8,CABLE-CAD-4D9D0,3fe3525e93f14cddc70c4c5e36aa9738f0bb5ff14be4563c75adf6bcd9211ce1,9cff6c995d9cee0d327c5fdbaea4ebc376f1ef0b45e623a8cea1f1d270745976,4D9D0,SLING WIRE,1,c0a9230465d0287c33218cb014d3dc240ee9a83c5c89aced2047476648db8123,line,ordered_wcs_vertices,41.52124166200775,2,41.52124166200775,cad2gis.bulge_tessellation.v1,dimension_measured,7c4c9647f7a3b0d2af66cf5a6f5e50ebc4f2ff799b331e6b638f0c31cbd6afea,41.52124166200701,-7.460698725481052e-13,41.52124166216642,41.48583854653871,41.52124166200701,measured,41.5212m,dwg_dimension,m,cad2gis.cable_segment.v1,CABLE-CAD-4D9D0,,UNAVAILABLE,41.52124166216642,,UNAVAILABLE,SOURCE_ROUTE_SEGMENT,4,,BYLAYER,30,0.0,0.0,0.0,CABLE:SLING WIRE|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""9cff6c995d9cee0d327c5fdbaea4ebc376f1ef0b45e623a8cea1f1d270745976"",""max_displacement_m"":0.0},{""operation"":""segment_occurrence"",""parent_feature_key"":""3fe3525e93f14cddc70c4c5e36aa9738f0bb5ff14be4563c75adf6bcd9211ce1"",""segment_index"":1,""source_segment_key"":""c0a9230465d0287c33218cb014d3dc240ee9a83c5c89aced2047476648db8123"",""source_segment_kind"":""line"",""geometry_policy"":""versioned-source-segment-delivery-path""}]",41.52124166200701,,,
9,CABLE-CAD-4D17D,4216fb3af330c662c13b64b809afdde447da1be2aecd4a62e838dce358e0cca2,be451527260a715eec619adad88c17cf8777177bb86ab07fe15362b8b4a207b3,4D17D,FO 48 CORE,0,07f1998f89f97c45d76cc96da9a66a1b674c68e88fee884d265c27c6260c5076,line,ordered_wcs_vertices,41.685058352279476,2,41.685058352279476,cad2gis.bulge_tessellation.v1,dimension_measured,97cd1f8ba343eaea91a3c51f7947bc9dc1002de4f9685b66a3249fefe2951ec5,41.68505835227916,-3.197442310920451e-13,41.68505835227949,41.64949409193687,41.68505835227916,measured,41.6851m,dwg_dimension,m,cad2gis.cable_segment.v1,CABLE-CAD-4D17D,,UNAVAILABLE,41.68505835227949,,UNAVAILABLE,SOURCE_ROUTE_SEGMENT,200,,BYLAYER,30,0.0,0.0,0.0,CABLE:48|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""be451527260a715eec619adad88c17cf8777177bb86ab07fe15362b8b4a207b3"",""max_displacement_m"":0.0},{""operation"":""segment_occurrence"",""parent_feature_key"":""4216fb3af330c662c13b64b809afdde447da1be2aecd4a62e838dce358e0cca2"",""segment_index"":0,""source_segment_key"":""07f1998f89f97c45d76cc96da9a66a1b674c68e88fee884d265c27c6260c5076"",""source_segment_kind"":""line"",""geometry_policy"":""versioned-source-segment-delivery-path""}]",41.68505835227916,,,
10,CABLE-CAD-4D17D,4216fb3af330c662c13b64b809afdde447da1be2aecd4a62e838dce358e0cca2,be451527260a715eec619adad88c17cf8777177bb86ab07fe15362b8b4a207b3,4D17D,FO 48 CORE,1,9223c0e373abdcb39b53d14b1601528b0a026bac6b39372ac0bff26f7be1af7f,line,ordered_wcs_vertices,40.97097372362447,2,40.97097372362447,cad2gis.bulge_tessellation.v1,dimension_measured,0d823284e1d23207be46913ed2a4aca2e643d2c8a901f0dd3b81edb7405dae31,40.97097372363351,9.045209026226075e-12,40.970973723157975,40.93601761431341,40.97097372363351,measured,40.971m,dwg_dimension,m,cad2gis.cable_segment.v1,CABLE-CAD-4D17D,,UNAVAILABLE,40.970973723157975,,UNAVAILABLE,SOURCE_ROUTE_SEGMENT,200,,BYLAYER,30,0.0,0.0,0.0,CABLE:48|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""be451527260a715eec619adad88c17cf8777177bb86ab07fe15362b8b4a207b3"",""max_displacement_m"":0.0},{""operation"":""segment_occurrence"",""parent_feature_key"":""4216fb3af330c662c13b64b809afdde447da1be2aecd4a62e838dce358e0cca2"",""segment_index"":1,""source_segment_key"":""9223c0e373abdcb39b53d14b1601528b0a026bac6b39372ac0bff26f7be1af7f"",""source_segment_kind"":""line"",""geometry_policy"":""versioned-source-segment-delivery-path""}]",40.97097372363351,,,
