fid,CODE,CODE_PTC,REF_PLAQUE,REF_NRO,REF_PM,TYPE,TYPE_STRUCTURE,MODE_POSE,CAPACITE,NB_LOGEMENT,NB_SPLICES,NB_FIBRE_UTIL,FABRIQUANT,REF_BPE,NB_CASSETTES_MAX,CABLE_AMONT,STATUT,PROPRIETAIRE,GESTIONNAIRE,ADRESSSE,VILLE,CODE_POSTAL,COMMENT,X,Y,display_label,label_provenance,source_entity_key,source_handle,source_layer,geometry_role,style_aci,style_truecolor,style_linetype,style_lineweight,style_rotation,style_rotation_deg,style_qgis_rotation_deg,style_render_key,lineage_json,source_cad_length_m,dimension_length_m,source_segment_sum_m,source_native_length_delta_m,delivery_grid_length_m,geodesic_length_m
1,PTV.135.B07,,,,,,,,,,,,,,,,,,,,,,,819887.7430553733,9896348.99500734,PTV.135.B07 · 16,DWG_DERIVED:AI-ANNOTATION-OBSERVED_164B341107F4645B536A455752F88634-001|RULE:AI-ANNOTATION-ASSIGN-001|DWG_DIRECT:block-attribute-text,bbac15d64dbb34ef25833be2fb9c1ccdb6e520ec23bd6f821fac0c0cac09a444,4D341,FAT,SOURCE_ASSET,30,,BYLAYER,30,0.04230224072204261,2.423739857319486,357.576260113727,ACI:30|LT:BYLAYER|LW:30|ROT_QGIS:357.576260114,"[{""operation"":""identity"",""source_entity_key"":""bbac15d64dbb34ef25833be2fb9c1ccdb6e520ec23bd6f821fac0c0cac09a444"",""max_displacement_m"":0.0},{""operation"":""collocate_with_support"",""source_entity_key"":""bbac15d64dbb34ef25833be2fb9c1ccdb6e520ec23bd6f821fac0c0cac09a444"",""support_feature_key"":""0efa3b4e3eab13932ccd642d21726251c9a3c7ca39f66b4403f534b3431f26ac"",""support_handle"":""4CF74"",""max_displacement_m"":6.0282217942026755}]",,,,,,
2,PTV.135.A06,,,,,,,,,,,,,,,,,,,,,,,820005.5243821592,9896145.031768726,PTV.135.A06 · 16,DWG_DERIVED:AI-ANNOTATION-OBSERVED_164B341107F4645B536A455752F88634-001|RULE:AI-ANNOTATION-ASSIGN-001|DWG_DIRECT:block-attribute-text,58febb9da223bdd4e66aea678bb711f62ce9815e35332b814f334234e484a675,4D309,FAT,SOURCE_ASSET,30,,BYLAYER,30,0.04230224072204261,2.423739857319486,357.5762601140091,ACI:30|LT:BYLAYER|LW:30|ROT_QGIS:357.576260114,"[{""operation"":""identity"",""source_entity_key"":""58febb9da223bdd4e66aea678bb711f62ce9815e35332b814f334234e484a675"",""max_displacement_m"":0.0},{""operation"":""collocate_with_support"",""source_entity_key"":""58febb9da223bdd4e66aea678bb711f62ce9815e35332b814f334234e484a675"",""support_feature_key"":""b4a794e26340505cb72fd1abebca1367272e5a64588a9d61e3d50604554196b7"",""support_handle"":""4CDDC"",""max_displacement_m"":6.034406877143654}]",,,,,,
3,PTV.135.B04,,,,,,,,,,,,,,,,,,,,,,,819856.1660135804,9896270.88384462,PTV.135.B04 · 16,DWG_DERIVED:AI-ANNOTATION-OBSERVED_164B341107F4645B536A455752F88634-001|RULE:AI-ANNOTATION-ASSIGN-001|DWG_DIRECT:block-attribute-text,db286e9a8cdef5294fe64cfcc66a361f9d07a2d48d18830f927e7753c80618eb,4D331,FAT,SOURCE_ASSET,30,,BYLAYER,30,0.04230224072204261,2.423739857319486,357.5762602206353,ACI:30|LT:BYLAYER|LW:30|ROT_QGIS:357.576260221,"[{""operation"":""identity"",""source_entity_key"":""db286e9a8cdef5294fe64cfcc66a361f9d07a2d48d18830f927e7753c80618eb"",""max_displacement_m"":0.0},{""operation"":""collocate_with_support"",""source_entity_key"":""db286e9a8cdef5294fe64cfcc66a361f9d07a2d48d18830f927e7753c80618eb"",""support_feature_key"":""1bf73502b77fa9c7235242913cb9b63dad7e1b53fadb92f6980fba246c1f986b"",""support_handle"":""4CF3C"",""max_displacement_m"":6.054466028105937}]",,,,,,
4,PTV.135.A12,,,,,,,,,,,,,,,,,,,,,,,819904.6747956066,9896113.886813296,PTV.135.A12 · 16,DWG_DERIVED:AI-ANNOTATION-OBSERVED_164B341107F4645B536A455752F88634-001|RULE:AI-ANNOTATION-ASSIGN-001|DWG_DIRECT:block-attribute-text,6c1110f2ec026d268d1ce39284db25d5970d9248e4a80f8e39d85f391a264b90,4D321,FAT,SOURCE_ASSET,30,,BYLAYER,30,0.04230224072204261,2.423739857319486,357.5762601140091,ACI:30|LT:BYLAYER|LW:30|ROT_QGIS:357.576260114,"[{""operation"":""identity"",""source_entity_key"":""6c1110f2ec026d268d1ce39284db25d5970d9248e4a80f8e39d85f391a264b90"",""max_displacement_m"":0.0},{""operation"":""collocate_with_support"",""source_entity_key"":""6c1110f2ec026d268d1ce39284db25d5970d9248e4a80f8e39d85f391a264b90"",""support_feature_key"":""46da9d4ce6ac22e8edf875b6bbbc8fd0121b9674282a5b703bf56d6c79909e3e"",""support_handle"":""4CF14"",""max_displacement_m"":6.138628818957326}]",,,,,,
5,PTV.135.A10,,,,,,,,,,,,,,,,,,,,,,,819966.4334470496,9896147.05555121,PTV.135.A10 · 16,DWG_DERIVED:AI-ANNOTATION-OBSERVED_164B341107F4645B536A455752F88634-001|RULE:AI-ANNOTATION-ASSIGN-001|DWG_DIRECT:block-attribute-text,57432c3779436ff5c8984da171400918e940a4b12e0b5979b9e86ac4f22b27db,4D319,FAT,SOURCE_ASSET,30,,BYLAYER,30,0.04230224072204261,2.423739857319486,357.5762601140091,ACI:30|LT:BYLAYER|LW:30|ROT_QGIS:357.576260114,"[{""operation"":""identity"",""source_entity_key"":""57432c3779436ff5c8984da171400918e940a4b12e0b5979b9e86ac4f22b27db"",""max_displacement_m"":0.0},{""operation"":""collocate_with_support"",""source_entity_key"":""57432c3779436ff5c8984da171400918e940a4b12e0b5979b9e86ac4f22b27db"",""support_feature_key"":""bb01fb7db68c259ad30da83bf0ff71f742d1ffdc15b6b2cfcccf11f4b8427c61"",""support_handle"":""4CDD4"",""max_displacement_m"":6.172269751492656}]",,,,,,
6,PTV.135.A03,,,,,,,,,,,,,,,,,,,,,,,819976.1379909683,9896272.792514056,PTV.135.A03 · 16,DWG_DERIVED:AI-ANNOTATION-OBSERVED_164B341107F4645B536A455752F88634-001|RULE:AI-ANNOTATION-ASSIGN-001|DWG_DIRECT:block-attribute-text,9b6687f7ce6bd634534e236b1abf228235d262b7dbce16277907074ffb16dfa1,4D2F9,FAT,SOURCE_ASSET,30,,BYLAYER,30,0.04230224072204261,2.423739857319486,357.5762601140091,ACI:30|LT:BYLAYER|LW:30|ROT_QGIS:357.576260114,"[{""operation"":""identity"",""source_entity_key"":""9b6687f7ce6bd634534e236b1abf228235d262b7dbce16277907074ffb16dfa1"",""max_displacement_m"":0.0},{""operation"":""collocate_with_support"",""source_entity_key"":""9b6687f7ce6bd634534e236b1abf228235d262b7dbce16277907074ffb16dfa1"",""support_feature_key"":""0d6b8d92f2ecb7bff26dcb8c35f1df6bf60a9403b962e0e1ea7541e8e2d7659d"",""support_handle"":""4CF9C"",""max_displacement_m"":5.869621106414677}]",,,,,,
7,PTV.135.A11,,,,,,,,,,,,,,,,,,,,,,,819939.1355425388,9896148.491621254,PTV.135.A11 · 16,DWG_DERIVED:AI-ANNOTATION-OBSERVED_164B341107F4645B536A455752F88634-001|RULE:AI-ANNOTATION-ASSIGN-001|DWG_DIRECT:block-attribute-text,626467d00afe004b4590bf9884308ccc2bc39cfe68443b1760dd8315eb2c5ff3,4D31D,FAT,SOURCE_ASSET,30,,BYLAYER,30,0.04230224072204261,2.423739857319486,357.5762601140091,ACI:30|LT:BYLAYER|LW:30|ROT_QGIS:357.576260114,"[{""operation"":""identity"",""source_entity_key"":""626467d00afe004b4590bf9884308ccc2bc39cfe68443b1760dd8315eb2c5ff3"",""max_displacement_m"":0.0},{""operation"":""collocate_with_support"",""source_entity_key"":""626467d00afe004b4590bf9884308ccc2bc39cfe68443b1760dd8315eb2c5ff3"",""support_feature_key"":""8aef72f47d4ce4f16db01b20e5c95c545640d7faef3ce8c426dfc336547dc9da"",""support_handle"":""4CE04"",""max_displacement_m"":5.936468453294282}]",,,,,,
8,PTV.135.B01,,,,,,,,,,,,,,,,,,,,,,,819873.4719794298,9896151.555481128,PTV.135.B01 · 16,DWG_DERIVED:AI-ANNOTATION-OBSERVED_164B341107F4645B536A455752F88634-001|RULE:AI-ANNOTATION-ASSIGN-001|DWG_DIRECT:block-attribute-text,a2fd6dcf0b84defcb964a6d7340f29567990028330c410e9de49a66e2ee04ad2,4D325,FAT,SOURCE_ASSET,30,,BYLAYER,30,0.04230224072204261,2.423739857319486,357.5762601140091,ACI:30|LT:BYLAYER|LW:30|ROT_QGIS:357.576260114,"[{""operation"":""identity"",""source_entity_key"":""a2fd6dcf0b84defcb964a6d7340f29567990028330c410e9de49a66e2ee04ad2"",""max_displacement_m"":0.0},{""operation"":""collocate_with_support"",""source_entity_key"":""a2fd6dcf0b84defcb964a6d7340f29567990028330c410e9de49a66e2ee04ad2"",""support_feature_key"":""f583fbc2b82bf9cb8c03cc4c8c98064d2b880e7cd3531ca3cf5a14a9eaf18711"",""support_handle"":""4CE8C"",""max_displacement_m"":6.037099033891164}]",,,,,,
9,PTV.135.B06,,,,,,,,,,,,,,,,,,,,,,,819885.1248661145,9896316.170005308,PTV.135.B06 · 14,DWG_DERIVED:AI-ANNOTATION-OBSERVED_164B341107F4645B536A455752F88634-001|RULE:AI-ANNOTATION-ASSIGN-001|DWG_DIRECT:block-attribute-text,59b5c5316b36cf5d8c08fcdfef55bea560f735350d49156d14b5c642c3b00845,4D339,FAT,SOURCE_ASSET,30,,BYLAYER,30,0.04230224072204261,2.423739857319486,357.5762601140091,ACI:30|LT:BYLAYER|LW:30|ROT_QGIS:357.576260114,"[{""operation"":""identity"",""source_entity_key"":""59b5c5316b36cf5d8c08fcdfef55bea560f735350d49156d14b5c642c3b00845"",""max_displacement_m"":0.0},{""operation"":""collocate_with_support"",""source_entity_key"":""59b5c5316b36cf5d8c08fcdfef55bea560f735350d49156d14b5c642c3b00845"",""support_feature_key"":""b7081aaf32c56205c29344cd81878f000aa0274082c024b674f1370b3a7e8ccd"",""support_handle"":""4CF44"",""max_displacement_m"":5.9813724710768215}]",,,,,,
10,PTV.135.A08,,,,,,,,,,,,,,,,,,,,,,,820044.0289796231,9896062.93526756,PTV.135.A08 · 16,DWG_DERIVED:AI-ANNOTATION-OBSERVED_164B341107F4645B536A455752F88634-001|RULE:AI-ANNOTATION-ASSIGN-001|DWG_DIRECT:block-attribute-text,b0573a40628e1326ffc201ba422a9dc2584c7f2aba1fad7f54a9cf3e52476250,4D311,FAT,SOURCE_ASSET,30,,BYLAYER,30,0.04230224072204261,2.423739857319486,357.5762602206353,ACI:30|LT:BYLAYER|LW:30|ROT_QGIS:357.576260221,"[{""operation"":""identity"",""source_entity_key"":""b0573a40628e1326ffc201ba422a9dc2584c7f2aba1fad7f54a9cf3e52476250"",""max_displacement_m"":0.0},{""operation"":""collocate_with_support"",""source_entity_key"":""b0573a40628e1326ffc201ba422a9dc2584c7f2aba1fad7f54a9cf3e52476250"",""support_feature_key"":""6dd0fbe3f52bf4ff7ca32ae0de15b97786e30779abadc4ab32ebfc784633b401"",""support_handle"":""4CF04"",""max_displacement_m"":6.020481686181623}]",,,,,,
