fid,CODE,REF_PLAQUE,REGION,PROVINCE,VILLE,COMMUNE,CODE_POSTAL,NUMERO_VOIE,TYPE_VOIE,TYPE_BATIMENT,TYPE_CLIENT,NB_LOC_RES,NB_LOC_PRO,NB_LOC_TOT,RACCORDEMENT,STATUT,NB_ETAGE,COL_MONTANTE,SOUS_SOL,SOUS_SOL_COMMUN,BPE_CODE,X,Y,display_label,label_provenance,source_entity_key,source_handle,source_layer,geometry_role,style_aci,style_truecolor,style_linetype,style_lineweight,style_rotation,style_rotation_deg,style_qgis_rotation_deg,style_render_key,lineage_json,source_cad_length_m,dimension_length_m,source_segment_sum_m,source_native_length_delta_m,delivery_grid_length_m,geodesic_length_m
1,N1,,,,,,,,,,,,,,,,,,,,,819912.5018138154,9896143.72114053,N1,DWG_DIRECT:text|RULE:AI-IMB-LABEL-001,b7751390de5638f77b8653f9ec3c7abd8707751f345ab358fbda0cbc09c9ef48,4CC12,Homepass Number,SOURCE_HOME_LABEL,6,,BYLAYER,30,0.0,0.0,0.0,ACI:6|LT:BYLAYER|LW:30|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""b7751390de5638f77b8653f9ec3c7abd8707751f345ab358fbda0cbc09c9ef48"",""max_displacement_m"":0.0}]",,,,,,
2,J9,,,,,,,,,,,,,,,,,,,,,819982.8522884088,9896211.165502196,J9,DWG_DIRECT:text|RULE:AI-IMB-LABEL-001,c4f3fa133b2810fcf68a854a9e56e1f1e0a50d6128625a33f1b2116686ce78f8,4C702,Homepass Number,SOURCE_HOME_LABEL,6,,BYLAYER,30,0.0,0.0,0.0,ACI:6|LT:BYLAYER|LW:30|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""c4f3fa133b2810fcf68a854a9e56e1f1e0a50d6128625a33f1b2116686ce78f8"",""max_displacement_m"":0.0}]",,,,,,
3,T5,,,,,,,,,,,,,,,,,,,,,819982.8744678972,9896266.903648851,T5,DWG_DIRECT:text|RULE:AI-IMB-LABEL-001,67737540a34ec9a9a768d2501f54d9361709f0549e197f9d0f4e929f3a65007f,4CBF5,Homepass Number,SOURCE_HOME_LABEL,6,,BYLAYER,30,0.0,0.0,0.0,ACI:6|LT:BYLAYER|LW:30|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""67737540a34ec9a9a768d2501f54d9361709f0549e197f9d0f4e929f3a65007f"",""max_displacement_m"":0.0}]",,,,,,
4,Z8,,,,,,,,,,,,,,,,,,,,,819875.3392590319,9896285.119954534,Z8,DWG_DIRECT:text|RULE:AI-IMB-LABEL-001,a144fcd89fc685a67b086e9ad49b0f0ce6638200ad02f123ffd2894fa544e3a7,4CC62,Homepass Number,SOURCE_HOME_LABEL,6,,BYLAYER,30,0.0,0.0,0.0,ACI:6|LT:BYLAYER|LW:30|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""a144fcd89fc685a67b086e9ad49b0f0ce6638200ad02f123ffd2894fa544e3a7"",""max_displacement_m"":0.0}]",,,,,,
5,W9,,,,,,,,,,,,,,,,,,,,,819931.6994570552,9896297.754496038,W9,DWG_DIRECT:text|RULE:AI-IMB-LABEL-001,f48e190fbc0558089a8e62f1f88dddfea6f4218048bb16b83a3a8c09ec8caf31,4CC84,Homepass Number,SOURCE_HOME_LABEL,6,,BYLAYER,30,0.0,0.0,0.0,ACI:6|LT:BYLAYER|LW:30|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""f48e190fbc0558089a8e62f1f88dddfea6f4218048bb16b83a3a8c09ec8caf31"",""max_displacement_m"":0.0}]",,,,,,
6,P1,,,,,,,,,,,,,,,,,,,,,819879.5462041452,9896144.685231281,P1,DWG_DIRECT:text|RULE:AI-IMB-LABEL-001,eb654134b5f5a697752242a20d1473e7eeccd30d82d8f8d5383a46603e024859,4CC1B,Homepass Number,SOURCE_HOME_LABEL,6,,BYLAYER,30,0.0,0.0,0.0,ACI:6|LT:BYLAYER|LW:30|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""eb654134b5f5a697752242a20d1473e7eeccd30d82d8f8d5383a46603e024859"",""max_displacement_m"":0.0}]",,,,,,
7,N4,,,,,,,,,,,,,,,,,,,,,819911.3752335027,9896121.815390134,N4,DWG_DIRECT:text|RULE:AI-IMB-LABEL-001,e5b4de9977d625c6703dc2a0ea774803c2c7e4df9c93aa910daa63f0abf3a576,4CC0F,Homepass Number,SOURCE_HOME_LABEL,6,,BYLAYER,30,0.0,0.0,0.0,ACI:6|LT:BYLAYER|LW:30|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""e5b4de9977d625c6703dc2a0ea774803c2c7e4df9c93aa910daa63f0abf3a576"",""max_displacement_m"":0.0}]",,,,,,
8,N9,,,,,,,,,,,,,,,,,,,,,819909.8737346375,9896087.299912212,N9,DWG_DIRECT:text|RULE:AI-IMB-LABEL-001,58f668aaf04c2f35320871a22ac6593f265567f454a62b8c76363711eda36f81,4CC0A,Homepass Number,SOURCE_HOME_LABEL,6,,BYLAYER,30,0.0,0.0,0.0,ACI:6|LT:BYLAYER|LW:30|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""58f668aaf04c2f35320871a22ac6593f265567f454a62b8c76363711eda36f81"",""max_displacement_m"":0.0}]",,,,,,
9,AC6,,,,,,,,,,,,,,,,,,,,,819830.01325952,9896273.392153427,AC6,DWG_DIRECT:text|RULE:AI-IMB-LABEL-001,f37f752ed7d42595b35aa733e1e1fbd2734993fdc391cb026d39fdd1267d07f7,4CC40,Homepass Number,SOURCE_HOME_LABEL,6,,BYLAYER,30,0.0,0.0,0.0,ACI:6|LT:BYLAYER|LW:30|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""f37f752ed7d42595b35aa733e1e1fbd2734993fdc391cb026d39fdd1267d07f7"",""max_displacement_m"":0.0}]",,,,,,
10,AJ1,,,,,,,,,,,,,,,,,,,,,820014.7014021779,9896262.80870417,AJ1,DWG_DIRECT:text|RULE:AI-IMB-LABEL-001,2243a314033e1384bd969bddb0c631d97cf8ba821bb3f9ec3a5e145d0631dbd2,4CBF6,Homepass Number,SOURCE_HOME_LABEL,6,,BYLAYER,30,0.0,0.0,0.0,ACI:6|LT:BYLAYER|LW:30|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""2243a314033e1384bd969bddb0c631d97cf8ba821bb3f9ec3a5e145d0631dbd2"",""max_displacement_m"":0.0}]",,,,,,
