fid,CODE,REF_PLAQUE,REF_NRO,REF_SRO,STATUT,NB_PRISES,COMMENT,display_label,label_provenance,source_entity_key,source_handle,source_layer,geometry_role,style_aci,style_truecolor,style_linetype,style_lineweight,style_rotation,style_rotation_deg,style_qgis_rotation_deg,style_render_key,lineage_json,source_cad_length_m,dimension_length_m,source_segment_sum_m,source_native_length_delta_m,delivery_grid_length_m,geodesic_length_m
1,ZPM-CAD-4D034,,,,,,,,UNAVAILABLE,28f3f2792908fb0e6d35797c96264a05584b22e3a4f0a05f76ed468f48b70129,4D034,FAT AREA,SOURCE_BOUNDARY,2,#F1EB1F,BYLAYER,30,0.0,0.0,0.0,TRUECOLOR:F1EB1F|LT:BYLAYER|LW:30|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""28f3f2792908fb0e6d35797c96264a05584b22e3a4f0a05f76ed468f48b70129"",""max_displacement_m"":0.0}]",,,,,,
2,ZPM-CAD-4D02E,,,,,,,,UNAVAILABLE,9704958e7ec207fb1d4f62b2b2c69ab95341742121a03249d8d50c52c49eab12,4D02E,FAT AREA,SOURCE_BOUNDARY,1,,BYLAYER,30,0.0,0.0,0.0,ACI:1|LT:BYLAYER|LW:30|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""9704958e7ec207fb1d4f62b2b2c69ab95341742121a03249d8d50c52c49eab12"",""max_displacement_m"":0.0}]",,,,,,
3,ZPM-CAD-4D035,,,,,,,,UNAVAILABLE,52d7451af8c366f2e43ad53c36ef155a4c4020a47923ec9021bf5e9463387f20,4D035,FAT AREA,SOURCE_BOUNDARY,2,#F1EB1F,BYLAYER,30,0.0,0.0,0.0,TRUECOLOR:F1EB1F|LT:BYLAYER|LW:30|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""52d7451af8c366f2e43ad53c36ef155a4c4020a47923ec9021bf5e9463387f20"",""max_displacement_m"":0.0}]",,,,,,
4,ZPM-CAD-4D02F,,,,,,,,UNAVAILABLE,6f4f2c569d1edb404a34ca2a934cb3ab53c0740efaf92146130cc18adb2c3d5f,4D02F,FAT AREA,SOURCE_BOUNDARY,2,#F1EB1F,BYLAYER,30,0.0,0.0,0.0,TRUECOLOR:F1EB1F|LT:BYLAYER|LW:30|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""6f4f2c569d1edb404a34ca2a934cb3ab53c0740efaf92146130cc18adb2c3d5f"",""max_displacement_m"":0.0}]",,,,,,
5,ZPM-CAD-4D03C,,,,,,,,UNAVAILABLE,a6798079f99243320deae264a81de54caf59248b561bed35992aee430735254d,4D03C,FAT AREA,SOURCE_BOUNDARY,1,,BYLAYER,30,0.0,0.0,0.0,ACI:1|LT:BYLAYER|LW:30|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""a6798079f99243320deae264a81de54caf59248b561bed35992aee430735254d"",""max_displacement_m"":0.0}]",,,,,,
6,ZPM-CAD-4D038,,,,,,,,UNAVAILABLE,7db0802fc2c3e48f15243862d588b0aae9e42722d1111e5c2bb6bac3626a4518,4D038,FAT AREA,SOURCE_BOUNDARY,1,,BYLAYER,30,0.0,0.0,0.0,ACI:1|LT:BYLAYER|LW:30|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""7db0802fc2c3e48f15243862d588b0aae9e42722d1111e5c2bb6bac3626a4518"",""max_displacement_m"":0.0}]",,,,,,
7,ZPM-CAD-4D026,,,,,,,,UNAVAILABLE,887563aed3d0bb06b200818e35f6111488c151e9b71b89f28b8b6faf5ac870ee,4D026,FAT AREA,SOURCE_BOUNDARY,1,,BYLAYER,30,0.0,0.0,0.0,ACI:1|LT:BYLAYER|LW:30|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""887563aed3d0bb06b200818e35f6111488c151e9b71b89f28b8b6faf5ac870ee"",""max_displacement_m"":0.0}]",,,,,,
8,ZPM-CAD-4D031,,,,,,,,UNAVAILABLE,3976793c79fe1e8b45572f9f71ba06891fbbade89b6eee3c43f6a40059e2fe9d,4D031,FAT AREA,SOURCE_BOUNDARY,2,#F1EB1F,BYLAYER,30,0.0,0.0,0.0,TRUECOLOR:F1EB1F|LT:BYLAYER|LW:30|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""3976793c79fe1e8b45572f9f71ba06891fbbade89b6eee3c43f6a40059e2fe9d"",""max_displacement_m"":0.0}]",,,,,,
9,ZPM-CAD-4D037,,,,,,,,UNAVAILABLE,83001cffaf4887192d2723485bdfcc3a89b0e2a60e4fb8ef349a365875c8aa9a,4D037,FAT AREA,SOURCE_BOUNDARY,2,#F1EB1F,BYLAYER,30,0.0,0.0,0.0,TRUECOLOR:F1EB1F|LT:BYLAYER|LW:30|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""83001cffaf4887192d2723485bdfcc3a89b0e2a60e4fb8ef349a365875c8aa9a"",""max_displacement_m"":0.0}]",,,,,,
10,ZPM-CAD-4D03B,,,,,,,,UNAVAILABLE,17eb0f64fe5ada9b588a429ed1cda517560ceeead28efcc88a44b286c8a2dce2,4D03B,FAT AREA,SOURCE_BOUNDARY,1,,BYLAYER,30,0.0,0.0,0.0,ACI:1|LT:BYLAYER|LW:30|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""17eb0f64fe5ada9b588a429ed1cda517560ceeead28efcc88a44b286c8a2dce2"",""max_displacement_m"":0.0}]",,,,,,
