fid,CODE,NOM,REF_PLAQUE,TYPE,NATURE,HAUTEUR_APPUI,TYPE_APPUI,EFFORT_APPUI,NB_BOITIERS,STATUT,PROPRIETAIRE,GESTIONNAIRE,ADRESSSE,VILLE,CODE_POSTAL,COMMENT,X,Y,display_label,label_provenance,source_entity_key,source_handle,source_layer,geometry_role,style_aci,style_truecolor,style_linetype,style_lineweight,style_rotation,style_rotation_deg,style_qgis_rotation_deg,style_render_key,lineage_json,source_cad_length_m,dimension_length_m,source_segment_sum_m,source_native_length_delta_m,delivery_grid_length_m,geodesic_length_m
1,MR.PTB.DRS12.P004,,,,,,,,,,,,,,,,12170704.21251144,-3685.779312838235,MR.PTB.DRS12.P004,DWG_DERIVED:AI-ANNOTATION-OBSERVED_631B41CED9C8C92FE40C0A5C5663E9BB-001|RULE:AI-ANNOTATION-ASSIGN-001,3f1848634daa2356a3b9e3a084a8cd5ff73d615427d3a1b18e4ae6f0f0db32fd,287A6,NEW POLE 7m(4 inches),SOURCE_ASSET,3,,Continuous,-1,0.0,0.0,0.0,"PTECH:NP7 4""|ROT_QGIS:0.000000000","[{""operation"":""identity"",""source_entity_key"":""3f1848634daa2356a3b9e3a084a8cd5ff73d615427d3a1b18e4ae6f0f0db32fd"",""max_displacement_m"":0.0}]",,,,,,
2,MR.PTB.DRS12.P001,,,,,,,,,,,,,,,,12170635.36832715,-3579.896505865034,MR.PTB.DRS12.P001,DWG_DERIVED:AI-ANNOTATION-OBSERVED_631B41CED9C8C92FE40C0A5C5663E9BB-001|RULE:AI-ANNOTATION-ASSIGN-001,b248f1748e862c38ff0198788cc895fd0d0089a480ff7d566717d430720d2d0d,28842,NEW POLE 7m(4 inches),SOURCE_ASSET,3,,Continuous,-1,0.0,0.0,0.0,"PTECH:NP7 4""|ROT_QGIS:0.000000000","[{""operation"":""identity"",""source_entity_key"":""b248f1748e862c38ff0198788cc895fd0d0089a480ff7d566717d430720d2d0d"",""max_displacement_m"":0.0}]",,,,,,
3,MR.PTB.DRS12.P011,,,,,,,,,,,,,,,,12170934.97905267,-3489.174288397796,MR.PTB.DRS12.P011,DWG_DERIVED:AI-ANNOTATION-OBSERVED_631B41CED9C8C92FE40C0A5C5663E9BB-001|RULE:AI-ANNOTATION-ASSIGN-001,c421deb34d12ba80aebacbb30cffd05403c725375b2a84625e1de743a2bb7ec6,28601,NEW POLE 7m(4 inches),SOURCE_ASSET,3,,Continuous,-1,0.0,0.0,0.0,"PTECH:NP7 4""|ROT_QGIS:0.000000000","[{""operation"":""identity"",""source_entity_key"":""c421deb34d12ba80aebacbb30cffd05403c725375b2a84625e1de743a2bb7ec6"",""max_displacement_m"":0.0}]",,,,,,
4,MR.PTB.DRS12.P010,,,,,,,,,,,,,,,,12170904.50550255,-3515.813966358397,MR.PTB.DRS12.P010,DWG_DERIVED:AI-ANNOTATION-OBSERVED_631B41CED9C8C92FE40C0A5C5663E9BB-001|RULE:AI-ANNOTATION-ASSIGN-001,4dad014112656f684067ebe27b4df92ed2ec3bfef5822c55adf9228079b72c16,28635,NEW POLE 7m(4 inches),SOURCE_ASSET,3,,Continuous,-1,0.0,0.0,0.0,"PTECH:NP7 4""|ROT_QGIS:0.000000000","[{""operation"":""identity"",""source_entity_key"":""4dad014112656f684067ebe27b4df92ed2ec3bfef5822c55adf9228079b72c16"",""max_displacement_m"":0.0}]",,,,,,
5,MR.PTB.DRS12.P009,,,,,,,,,,,,,,,,12170881.21284342,-3536.470719645613,MR.PTB.DRS12.P009,DWG_DERIVED:AI-ANNOTATION-OBSERVED_631B41CED9C8C92FE40C0A5C5663E9BB-001|RULE:AI-ANNOTATION-ASSIGN-001,58c3264adf2706d60901e7c0a43614f98b09f2d6de4d16041dfea629e67f3319,2867C,NEW POLE 7m(4 inches),SOURCE_ASSET,3,,Continuous,-1,0.0,0.0,0.0,"PTECH:NP7 4""|ROT_QGIS:0.000000000","[{""operation"":""identity"",""source_entity_key"":""58c3264adf2706d60901e7c0a43614f98b09f2d6de4d16041dfea629e67f3319"",""max_displacement_m"":0.0}]",,,,,,
6,EXT.MR.DRS12.P001,,,,,,,,,,,,,,,,12170960.28795836,-3467.68246355208,EXT.MR.DRS12.P001,DWG_DERIVED:AI-ANNOTATION-OBSERVED_3F9F555820B36CB726BD8E190E6FD672-001|RULE:AI-ANNOTATION-ASSIGN-001,39c0e32a5f54233f06bdbbf2e7db67a40f480318bac75dc585107d51f87143d6,278E6,EXT POLE,SOURCE_ASSET,1,,Continuous,-1,0.0,0.0,0.0,PTECH:EXISTING|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""39c0e32a5f54233f06bdbbf2e7db67a40f480318bac75dc585107d51f87143d6"",""max_displacement_m"":0.0}]",,,,,,
7,MR.PTB.DRS12.P002,,,,,,,,,,,,,,,,12170683.17401864,-3653.569174738992,MR.PTB.DRS12.P002,DWG_DERIVED:AI-ANNOTATION-OBSERVED_631B41CED9C8C92FE40C0A5C5663E9BB-001|RULE:AI-ANNOTATION-ASSIGN-001,ad0f6c786a1d1610e6004025f7429ce1ac25b3d9cbc246aac53ade3b587d1a92,2880E,NEW POLE 7m(4 inches),SOURCE_ASSET,3,,Continuous,-1,0.0,0.0,0.0,"PTECH:NP7 4""|ROT_QGIS:0.000000000","[{""operation"":""identity"",""source_entity_key"":""ad0f6c786a1d1610e6004025f7429ce1ac25b3d9cbc246aac53ade3b587d1a92"",""max_displacement_m"":0.0}]",,,,,,
8,MR.PTB.DRS12.P008,,,,,,,,,,,,,,,,12170844.49005887,-3568.319571072942,MR.PTB.DRS12.P008,DWG_DERIVED:AI-ANNOTATION-OBSERVED_631B41CED9C8C92FE40C0A5C5663E9BB-001|RULE:AI-ANNOTATION-ASSIGN-001,5c646dd84ee1612a3a0ec285091bfdbe77857bf80d590d885fb1f981b308afac,286C3,NEW POLE 7m(4 inches),SOURCE_ASSET,3,,Continuous,-1,0.0,0.0,0.0,"PTECH:NP7 4""|ROT_QGIS:0.000000000","[{""operation"":""identity"",""source_entity_key"":""5c646dd84ee1612a3a0ec285091bfdbe77857bf80d590d885fb1f981b308afac"",""max_displacement_m"":0.0}]",,,,,,
9,MR.PTB.DRS12.P005,,,,,,,,,,,,,,,,12170753.72790348,-3646.918355251306,MR.PTB.DRS12.P005,DWG_DERIVED:AI-ANNOTATION-OBSERVED_631B41CED9C8C92FE40C0A5C5663E9BB-001|RULE:AI-ANNOTATION-ASSIGN-001,64b47dc6943302109847e490570d218b368b4698861c79baf445fc33a111f510,28772,NEW POLE 7m(4 inches),SOURCE_ASSET,3,,Continuous,-1,0.0,0.0,0.0,"PTECH:NP7 4""|ROT_QGIS:0.000000000","[{""operation"":""identity"",""source_entity_key"":""64b47dc6943302109847e490570d218b368b4698861c79baf445fc33a111f510"",""max_displacement_m"":0.0}]",,,,,,
10,MR.PTB.DRS12.P006,,,,,,,,,,,,,,,,12170775.66153498,-3628.241745905305,MR.PTB.DRS12.P006,DWG_DERIVED:AI-ANNOTATION-OBSERVED_631B41CED9C8C92FE40C0A5C5663E9BB-001|RULE:AI-ANNOTATION-ASSIGN-001,b1e625a02ff4f4befaa0518ad9560ae4dd646e78023471454b2594937f1ec205,2873E,NEW POLE 7m(4 inches),SOURCE_ASSET,3,,Continuous,-1,0.0,0.0,0.0,"PTECH:NP7 4""|ROT_QGIS:0.000000000","[{""operation"":""identity"",""source_entity_key"":""b1e625a02ff4f4befaa0518ad9560ae4dd646e78023471454b2594937f1ec205"",""max_displacement_m"":0.0}]",,,,,,
