entity_key,source_handle,dwg_type,source_layer,text,canonical_disposition,delivery_feature_count,delivery_layers,meaning,definition_entity_key,definition_retained_in_canonical_ledger,instance_parent_keys,all_instance_parents_retained_in_canonical_ledger,instance_parent_dispositions
005dc69da62273fad335846c06aef0b302f23c8b58fb58b9b67d1b9e72742115,21CA4,LWPOLYLINE,JALAN,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
05d4d075cd6a248c2054f9514fae153f3f9cc5b07a93a615cbedbf0118ad4937,21A12,LWPOLYLINE,JALAN,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
06040dc8321b913b7a299aea3403d3fd527b4474ee35a02b5abcb7b161084e8a,21B3B,TEXT,EXT POLE,MQM.GJM.BLOR3.P037,annotation,0,{},not_delivered_not_automatically_missing,,False,,False,
07d54163f933a9472efe5dc3fee1f9ed5b293b3f762a8a2f76fedddcd4524805,21BC1,DIMENSION,SPAN KU,,annotation,0,{},not_delivered_not_automatically_missing,,False,,False,
07d8738d4948512f0ec1d1c8c4ce516e09d2a5d28bf05c787f7ecdec6f2b901c,21ACD,INSERT,EXT POLE,"COORDINAT=-6.973509°,110.401790°
ID=Slack Cable 48C
IDENTITY=Cable From FDT BLOR-05.286
IDENTITY2=To NEW JC 288C
MARKING=XXX
PLACE=EXT.MR
SLACK=20",mapped,1,"{""PTECH"": 1}",delivered,,False,,False,
0896cff86d523ffd3eb265d921a914a9917cef76beb99f8c6bddec09447335c6,21A26,LWPOLYLINE,JALAN,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
10cb40e543bc9fd7161fe137302cfa1175a41ee82393f1b2ace4003cbc6b778b,21C23,DIMENSION,SPAN KU,,annotation,0,{},not_delivered_not_automatically_missing,,False,,False,
11101c4f329a534074669baa6b811fe9c9b7f3032bfbdee885379f8728f3153b,1FDA9,LWPOLYLINE,JALAN,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
132abb9259666ac7879a7e34038d7570decfac021a431b24025ca9967e67a074,21B41,TEXT,EXT POLE,EXT.LN.P005,annotation,0,{},not_delivered_not_automatically_missing,,False,,False,
193d91597ffa158965935af5cae86bc019b97865326464f357e813f066c93d56,21D70,INSERT,CLOSURE,"COORDINAT=-6.973509°,110.401790°
ID=Slack Cable 48C
IDENTITY=Cable From FDT BLOR-05.286
IDENTITY2=To NEW JC 288C
MARKING=XXX
PLACE=EXT.MR
SLACK=20",mapped,1,"{""BOITE"": 1}",delivered,,False,,False,
195dd86120e596eb2389182eb0ac5f43b90373ed7a25621772caa369d536af4c,21CB4,LWPOLYLINE,JALAN,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
1b9b4d2f776918fd872cd8695199efdf133e153f1b09d3a49fba5e4730cdf83a,21A21,LWPOLYLINE,JALAN,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
1caa4f128e4728670de1ed8ff5dfe2a72955d9529f5e0b4a8d7221f5c3f81590,21A22,LWPOLYLINE,JALAN,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
1cb1431b51412a991ac8d8d9bede102e38211226b6ce71f072aeed15321d4e25,21A95,INSERT,EXT POLE,"COORDINAT=-6.973509°,110.401790°
ID=Slack Cable 48C
IDENTITY=Cable From FDT BLOR-05.286
IDENTITY2=To NEW JC 288C
MARKING=XXX
PLACE=EXT.MR
SLACK=20",mapped,1,"{""PTECH"": 1}",delivered,,False,,False,
1cdf4731ea73f316cb097ad219a1d8967bb2f661a54ff2f4df3bb55d58c621af,1FDA3,LWPOLYLINE,JALAN,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
1ea6fdf366109a6622b706affe1f90c09fda4cd94d37be3636119b8db76a632f,2104E,INSERT,FDT,FDT=48,mapped,1,"{""SITE"": 1}",delivered,,False,,False,
2011325aacae06d3a48757f3e0a02984b28d00177c05716e435ef6d28f6ba108,21A87,INSERT,EXT POLE,"COORDINAT=-6.973509°,110.401790°
ID=Slack Cable 48C
IDENTITY=Cable From FDT BLOR-05.286
IDENTITY2=To NEW JC 288C
MARKING=XXX
PLACE=EXT.MR
SLACK=20",mapped,1,"{""PTECH"": 1}",delivered,,False,,False,
24c67ade49c9f3855d2d7a71601790cc6d05671d8be105f25e8bf208b16c1558,21AB8,INSERT,EXT POLE,"COORDINAT=-6.973509°,110.401790°
ID=Slack Cable 48C
IDENTITY=Cable From FDT BLOR-05.286
IDENTITY2=To NEW JC 288C
MARKING=XXX
PLACE=EXT.MR
SLACK=20",mapped,1,"{""PTECH"": 1}",delivered,,False,,False,
262cdea78bed26d42cb17df27ea9e8cc0b4ab818922be93348ae8f7f7ab11fc7,21A8E,INSERT,EXT POLE,"COORDINAT=-6.973509°,110.401790°
ID=Slack Cable 48C
IDENTITY=Cable From FDT BLOR-05.286
IDENTITY2=To NEW JC 288C
MARKING=XXX
PLACE=EXT.MR
SLACK=20",mapped,1,"{""PTECH"": 1}",delivered,,False,,False,
27f16908f6aa84bbafb637b9236d8081b61296b88ee9238a99ceff49be1e5859,21A56,INSERT,EXT POLE,"COORDINAT=-6.973509°,110.401790°
ID=Slack Cable 48C
IDENTITY=Cable From FDT BLOR-05.286
IDENTITY2=To NEW JC 288C
MARKING=XXX
PLACE=EXT.MR
SLACK=20",mapped,1,"{""PTECH"": 1}",delivered,,False,,False,
2b1bb3dad9f6e70c3e166cf7a7c50aae044de227713a5588702950d3f36c8408,21CA7,LWPOLYLINE,JALAN,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
2b2e40d74c15c347318cb19b167636351afb3f48fc36d4a0a0bb295b0f5899fc,20958,INSERT,EXT POLE,"DISTANCE_TO=Distance to FDT
DISTANCE_TO_OLT=0 m
FAT_SEQUENCE=SMG.100.0204.BLOR-05.286
LOSS_@1490NM=00 dB",mapped,1,"{""PTECH"": 1}",delivered,,False,,False,
2c63321fe0004044d875485e0d0094bcda9cecd9431f5175caff59ea8f3fb676,21A4E,LWPOLYLINE,JALAN,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
2dd41ff54c5d9294fdd95f7a73c29f88019549b9efdabc0a2b3001521c3daf2a,21ABF,INSERT,EXT POLE,"COORDINAT=-6.973509°,110.401790°
ID=Slack Cable 48C
IDENTITY=Cable From FDT BLOR-05.286
IDENTITY2=To NEW JC 288C
MARKING=XXX
PLACE=EXT.MR
SLACK=20",mapped,1,"{""PTECH"": 1}",delivered,,False,,False,
302bf85edfaf62f7680c05965fa254acbcd182e513c5a5e5482607e783c11470,21B45,TEXT,EXT POLE,EXT.LN.P009,annotation,0,{},not_delivered_not_automatically_missing,,False,,False,
3231de0a61ddef9f6adfe477c3b3d79300881a0c019ca8fdc4f075c7e839c3d9,21D69,MTEXT,a,"Closure ID: NEW JC 288C
Coordinate:      -6.973509°,110.401790°
Splice Configuration  : 
(T00)C0-C0/288Core ~ (T01)C1-5C/48Core(BLOR-05.286)",annotation,0,{},not_delivered_not_automatically_missing,,False,,False,
328d67f9f9983c71802e4b67497faef4f6f53b4041da4bc957e21218f6fed2a8,21A9C,INSERT,EXT POLE,"COORDINAT=-6.973509°,110.401790°
ID=Slack Cable 48C
IDENTITY=Cable From FDT BLOR-05.286
IDENTITY2=To NEW JC 288C
MARKING=XXX
PLACE=EXT.MR
SLACK=20",mapped,1,"{""PTECH"": 1}",delivered,,False,,False,
3a0dc5dca1d9929ce585718a8f9b3834898e85aaa2384a639a2852f0a7e1699f,21E19,LWPOLYLINE,DESIGN SUMMARY,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
3a9779240846146f959a56991db9f1d230a9b8835f0c716d51e93d0d9e77c901,21B39,TEXT,EXT POLE,MQM.GJM.BLOR3.P035,annotation,0,{},not_delivered_not_automatically_missing,,False,,False,
3c1be950bdcd5f48ae21ebb7f671da210f71c06fd0d0ac6e60312b591715fd65,20CF9,TEXT,EXT POLE,EXT.LN.P033,annotation,0,{},not_delivered_not_automatically_missing,,False,,False,
3d263e3e7daad2d017c19c10f9795b7e11855d28454bba5b020d0383d29db0ed,21A64,INSERT,EXT POLE,"COORDINAT=-6.973509°,110.401790°
ID=Slack Cable 48C
IDENTITY=Cable From FDT BLOR-05.286
IDENTITY2=To NEW JC 288C
MARKING=XXX
PLACE=EXT.MR
SLACK=20",mapped,1,"{""PTECH"": 1}",delivered,,False,,False,
414c8fc65c5fa7bfa8ff7eb28116cd8abfbff6623bab5987d107207f1ca3b698,1FDA5,LWPOLYLINE,JALAN,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
447b0d0bb8c69680aad156d7ade056dfbda76e044e7acbbb79bd1bb66b357690,21E02,INSERT,COIL,"COORDINAT= -6.972840°,110.405514°
ID=Slack Cable 48C
IDENTITY=Cable From FDT BLOR-05.286
IDENTITY2=To NEW JC 288C
MARKING=XXX
PLACE=EXT.MR
SLACK=20",graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
49689230cc9beb4db9c7ddf446503b1c1e3dd7348008c2243210181c53b9d15c,21A27,LWPOLYLINE,JALAN,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
54220f15c23cb0efecef65d76dd6daf771ffc96cfd92ba94bf49e5f7bd870369,1FDA6,LWPOLYLINE,JALAN,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
5829638d482992573da7152323fe2da3663bd05729d2528457afaaf22d8709af,2090B,INSERT,EXT POLE,"DISTANCE_TO=Distance to FDT
DISTANCE_TO_OLT=0 m
FAT_SEQUENCE=SMG.100.0204.BLOR-05.286
LOSS_@1490NM=00 dB",mapped,1,"{""PTECH"": 1}",delivered,,False,,False,
583cff3000d84f3911a4ca1cc84b9dc0922da1732a88d7db57db800599914acd,21A29,LWPOLYLINE,JALAN,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
5a0bc58d964b0ffad8f83311eed32be093a6c6bbad796874ad8e7036778e7181,21C85,DIMENSION,SPAN KU,,annotation,0,{},not_delivered_not_automatically_missing,,False,,False,
